data folder: data/ready/chunk/conll2000/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 1
use crf layer: 0

1.train    L 0.413     acc [B 87.32 E 89.12 O 95.35 T 89.94]   B [P 95.11 R 93.62 F1 94.36]   E [P 86.14 R 86.08 F1 86.11]   EC [P 81.79 R 81.73 F1 81.76]
1.val      L 0.419     acc [B 87.34 E 88.92 O 95.80 T 89.83]   B [P 94.88 R 93.63 F1 94.25]   E [P 85.74 R 86.02 F1 85.88]   EC [P 81.24 R 81.51 F1 81.38]

2.train    L 0.302     acc [B 91.13 E 92.21 O 95.34 T 92.62]   B [P 96.30 R 95.51 F1 95.90]   E [P 89.61 R 90.16 F1 89.88]   EC [P 86.62 R 87.16 F1 86.89]
2.val      L 0.319     acc [B 90.84 E 91.75 O 95.30 T 92.22]   B [P 95.88 R 95.18 F1 95.53]   E [P 88.57 R 89.17 F1 88.87]   EC [P 85.64 R 86.22 F1 85.93]

3.train    L 0.250     acc [B 93.07 E 93.71 O 95.57 T 93.96]   B [P 96.70 R 96.80 F1 96.75]   E [P 91.27 R 92.33 F1 91.80]   EC [P 88.80 R 89.83 F1 89.31]
3.val      L 0.271     acc [B 92.80 E 93.08 O 95.55 T 93.40]   B [P 96.10 R 96.52 F1 96.31]   E [P 89.96 R 91.27 F1 90.61]   EC [P 87.60 R 88.88 F1 88.24]

4.train    L 0.218     acc [B 93.85 E 94.53 O 96.32 T 94.77]   B [P 97.40 R 96.98 F1 97.19]   E [P 92.52 R 93.24 F1 92.88]   EC [P 90.45 R 91.15 F1 90.80]
4.val      L 0.244     acc [B 93.17 E 93.64 O 96.36 T 94.00]   B [P 96.79 R 96.33 F1 96.56]   E [P 91.04 R 91.97 F1 91.51]   EC [P 89.00 R 89.91 F1 89.45]

