processed 47377 tokens with 23852 phrases; found: 23832 phrases; correct: 22587.
accuracy:  96.55%; precision:  94.78%; recall:  94.70%; FB1:  94.74
             ADJP: precision:  84.22%; recall:  75.57%; FB1:  79.66  393
             ADVP: precision:  83.83%; recall:  81.99%; FB1:  82.90  847
            CONJP: precision:  45.45%; recall:  55.56%; FB1:  50.00  11
             INTJ: precision: 100.00%; recall:  50.00%; FB1:  66.67  1
              LST: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
               NP: precision:  95.21%; recall:  94.91%; FB1:  95.06  12383
               PP: precision:  97.43%; recall:  98.32%; FB1:  97.87  4855
              PRT: precision:  76.15%; recall:  78.30%; FB1:  77.21  109
             SBAR: precision:  89.50%; recall:  90.84%; FB1:  90.17  543
               VP: precision:  94.90%; recall:  95.56%; FB1:  95.23  4690
