data folder: data/ready/nerc/conll2002_esp/
embeddings: polyglot, es
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 0

1.train    L 0.197     acc [B 57.31 E 54.58 O 99.52 T 93.96]   B [P 92.93 R 90.64 F1 91.77]   E [P 80.50 R 83.51 F1 81.98]   EC [P 52.26 R 54.21 F1 53.22]
1.val      L 0.240     acc [B 51.76 E 51.76 O 99.44 T 92.62]   B [P 91.85 R 89.93 F1 90.88]   E [P 81.47 R 83.85 F1 82.64]   EC [P 47.78 R 49.17 F1 48.47]

2.train    L 0.159     acc [B 62.12 E 60.45 O 99.68 T 94.82]   B [P 94.34 R 91.92 F1 93.12]   E [P 78.98 R 83.81 F1 81.32]   EC [P 54.69 R 58.04 F1 56.32]
2.val      L 0.211     acc [B 55.16 E 55.11 O 99.57 T 93.22]   B [P 92.83 R 90.14 F1 91.46]   E [P 76.68 R 81.20 F1 78.88]   EC [P 47.82 R 50.64 F1 49.19]

3.train    L 0.137     acc [B 67.74 E 67.34 O 99.70 T 95.69]   B [P 95.98 R 92.07 F1 93.99]   E [P 82.81 R 86.54 F1 84.64]   EC [P 62.39 R 65.20 F1 63.76]
3.val      L 0.186     acc [B 61.20 E 60.94 O 99.60 T 94.07]   B [P 94.42 R 89.89 F1 92.10]   E [P 79.61 R 83.36 F1 81.45]   EC [P 55.41 R 58.02 F1 56.68]

4.train    L 0.127     acc [B 70.31 E 69.69 O 99.71 T 95.99]   B [P 95.61 R 92.67 F1 94.12]   E [P 84.51 R 87.18 F1 85.83]   EC [P 65.38 R 67.44 F1 66.39]
4.val      L 0.179     acc [B 63.69 E 62.88 O 99.64 T 94.38]   B [P 93.85 R 89.84 F1 91.80]   E [P 82.66 R 83.92 F1 83.28]   EC [P 59.51 R 60.41 F1 59.95]

5.train    L 0.117     acc [B 72.86 E 72.79 O 99.66 T 96.33]   B [P 95.74 R 93.96 F1 94.84]   E [P 85.50 R 88.95 F1 87.19]   EC [P 67.64 R 70.37 F1 68.98]
5.val      L 0.172     acc [B 64.05 E 63.99 O 99.56 T 94.48]   B [P 93.92 R 91.29 F1 92.59]   E [P 82.51 R 85.73 F1 84.09]   EC [P 58.93 R 61.24 F1 60.06]

6.train    L 0.113     acc [B 73.95 E 73.26 O 99.68 T 96.41]   B [P 95.78 R 94.18 F1 94.97]   E [P 86.11 R 89.44 F1 87.74]   EC [P 68.86 R 71.51 F1 70.16]
6.val      L 0.169     acc [B 67.07 E 65.61 O 99.56 T 94.71]   B [P 93.80 R 91.15 F1 92.46]   E [P 83.67 R 86.08 F1 84.86]   EC [P 62.77 R 64.57 F1 63.65]

7.train    L 0.107     acc [B 75.11 E 74.50 O 99.71 T 96.59]   B [P 95.75 R 94.46 F1 95.10]   E [P 86.76 R 90.24 F1 88.46]   EC [P 69.99 R 72.80 F1 71.37]
7.val      L 0.165     acc [B 68.19 E 67.04 O 99.60 T 94.95]   B [P 94.20 R 91.89 F1 93.03]   E [P 84.24 R 86.74 F1 85.47]   EC [P 63.60 R 65.49 F1 64.53]

8.train    L 0.102     acc [B 75.83 E 76.30 O 99.68 T 96.78]   B [P 96.75 R 93.95 F1 95.33]   E [P 87.59 R 90.01 F1 88.78]   EC [P 71.69 R 73.67 F1 72.67]
8.val      L 0.157     acc [B 69.27 E 68.31 O 99.55 T 95.09]   B [P 94.69 R 91.01 F1 92.82]   E [P 83.86 R 86.21 F1 85.02]   EC [P 64.82 R 66.64 F1 65.71]

9.train    L 0.095     acc [B 77.68 E 78.01 O 99.67 T 96.99]   B [P 96.15 R 94.97 F1 95.56]   E [P 87.27 R 90.48 F1 88.85]   EC [P 72.50 R 75.16 F1 73.81]
9.val      L 0.156     acc [B 67.59 E 67.33 O 99.58 T 94.97]   B [P 94.74 R 91.82 F1 93.25]   E [P 85.12 R 87.13 F1 86.11]   EC [P 63.57 R 65.07 F1 64.31]

10.train    L 0.092    acc [B 77.99 E 78.52 O 99.73 T 97.10]   B [P 96.77 R 94.50 F1 95.62]   E [P 88.16 R 90.85 F1 89.49]   EC [P 73.72 R 75.97 F1 74.83]
10.val      L 0.159    acc [B 69.13 E 68.60 O 99.58 T 95.15]   B [P 94.74 R 91.13 F1 92.90]   E [P 84.88 R 86.65 F1 85.75]   EC [P 65.56 R 66.93 F1 66.24]

11.train    L 0.088    acc [B 79.11 E 79.37 O 99.75 T 97.22]   B [P 96.54 R 94.54 F1 95.53]   E [P 88.13 R 90.71 F1 89.40]   EC [P 74.66 R 76.85 F1 75.74]
11.val      L 0.154    acc [B 71.64 E 70.53 O 99.63 T 95.47]   B [P 94.89 R 91.38 F1 93.10]   E [P 85.05 R 86.65 F1 85.84]   EC [P 67.73 R 69.00 F1 68.36]

12.train    L 0.089    acc [B 78.96 E 79.47 O 99.70 T 97.19]   B [P 96.40 R 95.17 F1 95.78]   E [P 88.02 R 91.30 F1 89.63]   EC [P 74.09 R 76.84 F1 75.44]
12.val      L 0.155    acc [B 71.04 E 70.07 O 99.55 T 95.33]   B [P 94.14 R 92.28 F1 93.20]   E [P 85.33 R 88.07 F1 86.68]   EC [P 66.81 R 68.96 F1 67.87]

13.train    L 0.083    acc [B 80.32 E 80.55 O 99.77 T 97.39]   B [P 96.70 R 95.17 F1 95.93]   E [P 88.53 R 91.36 F1 89.92]   EC [P 75.69 R 78.10 F1 76.88]
13.val      L 0.153    acc [B 71.20 E 70.03 O 99.63 T 95.40]   B [P 94.56 R 91.57 F1 93.04]   E [P 85.34 R 87.20 F1 86.26]   EC [P 67.42 R 68.89 F1 68.14]

14.train    L 0.080    acc [B 80.45 E 81.21 O 99.75 T 97.46]   B [P 97.03 R 94.86 F1 95.93]   E [P 89.42 R 91.50 F1 90.45]   EC [P 76.70 R 78.49 F1 77.59]
14.val      L 0.148    acc [B 71.73 E 70.86 O 99.63 T 95.52]   B [P 94.87 R 90.60 F1 92.69]   E [P 86.34 R 86.72 F1 86.53]   EC [P 68.91 R 69.21 F1 69.06]

15.train    L 0.078    acc [B 80.99 E 81.66 O 99.79 T 97.54]   B [P 96.91 R 95.22 F1 96.06]   E [P 89.79 R 92.09 F1 90.93]   EC [P 77.20 R 79.18 F1 78.18]
15.val      L 0.152    acc [B 71.27 E 70.71 O 99.65 T 95.51]   B [P 94.72 R 91.15 F1 92.90]   E [P 85.48 R 86.83 F1 86.15]   EC [P 67.68 R 68.75 F1 68.21]

16.train    L 0.074    acc [B 81.92 E 82.88 O 99.76 T 97.67]   B [P 96.91 R 95.46 F1 96.18]   E [P 89.87 R 92.22 F1 91.03]   EC [P 77.95 R 79.98 F1 78.95]
16.val      L 0.150    acc [B 71.52 E 71.30 O 99.61 T 95.56]   B [P 94.71 R 92.21 F1 93.44]   E [P 86.08 R 88.10 F1 87.08]   EC [P 67.60 R 69.19 F1 68.39]

17.train    L 0.074    acc [B 82.05 E 82.49 O 99.80 T 97.66]   B [P 96.90 R 95.42 F1 96.16]   E [P 90.36 R 92.41 F1 91.37]   EC [P 78.36 R 80.13 F1 79.23]
17.val      L 0.151    acc [B 71.80 E 70.85 O 99.65 T 95.53]   B [P 94.67 R 91.52 F1 93.07]   E [P 85.59 R 87.06 F1 86.32]   EC [P 67.95 R 69.12 F1 68.53]

18.train    L 0.071    acc [B 82.35 E 83.69 O 99.74 T 97.75]   B [P 97.22 R 95.47 F1 96.34]   E [P 90.67 R 92.72 F1 91.68]   EC [P 78.88 R 80.66 F1 79.76]
18.val      L 0.146    acc [B 72.86 E 72.16 O 99.59 T 95.67]   B [P 94.90 R 91.91 F1 93.38]   E [P 86.09 R 88.01 F1 87.04]   EC [P 69.07 R 70.61 F1 69.83]

19.train    L 0.070    acc [B 82.80 E 84.05 O 99.75 T 97.81]   B [P 97.00 R 95.70 F1 96.35]   E [P 90.66 R 92.61 F1 91.62]   EC [P 79.28 R 80.98 F1 80.12]
19.val      L 0.151    acc [B 73.62 E 72.55 O 99.59 T 95.73]   B [P 94.43 R 91.63 F1 93.01]   E [P 86.52 R 87.59 F1 87.05]   EC [P 70.47 R 71.35 F1 70.91]

20.train    L 0.067    acc [B 83.50 E 84.35 O 99.79 T 97.88]   B [P 97.02 R 95.96 F1 96.49]   E [P 90.68 R 93.00 F1 91.83]   EC [P 79.68 R 81.72 F1 80.68]
20.val      L 0.150    acc [B 73.89 E 72.45 O 99.61 T 95.72]   B [P 94.37 R 92.39 F1 93.37]   E [P 86.17 R 88.17 F1 87.16]   EC [P 69.82 R 71.44 F1 70.62]

21.train    L 0.064    acc [B 83.96 E 85.34 O 99.78 T 97.99]   B [P 97.23 R 96.14 F1 96.68]   E [P 90.91 R 93.17 F1 92.03]   EC [P 80.16 R 82.16 F1 81.15]
21.val      L 0.149    acc [B 73.66 E 72.87 O 99.63 T 95.81]   B [P 94.74 R 91.89 F1 93.29]   E [P 86.41 R 87.50 F1 86.95]   EC [P 70.30 R 71.19 F1 70.74]

22.train    L 0.064    acc [B 83.83 E 85.18 O 99.81 T 97.99]   B [P 97.26 R 96.04 F1 96.65]   E [P 91.46 R 93.51 F1 92.47]   EC [P 80.53 R 82.34 F1 81.43]
22.val      L 0.152    acc [B 72.58 E 71.96 O 99.62 T 95.67]   B [P 94.40 R 92.23 F1 93.30]   E [P 86.49 R 88.24 F1 87.35]   EC [P 68.78 R 70.17 F1 69.47]

23.train    L 0.062    acc [B 83.89 E 85.58 O 99.80 T 98.04]   B [P 97.34 R 96.05 F1 96.69]   E [P 91.59 R 93.49 F1 92.53]   EC [P 80.65 R 82.32 F1 81.48]
23.val      L 0.149    acc [B 72.67 E 72.31 O 99.62 T 95.72]   B [P 94.81 R 91.89 F1 93.32]   E [P 85.89 R 87.52 F1 86.70]   EC [P 68.86 R 70.17 F1 69.51]

24.train    L 0.060    acc [B 84.81 E 86.31 O 99.81 T 98.14]   B [P 97.49 R 95.94 F1 96.71]   E [P 91.97 R 93.35 F1 92.66]   EC [P 82.03 R 83.26 F1 82.64]
24.val      L 0.145    acc [B 74.21 E 73.66 O 99.64 T 95.92]   B [P 95.09 R 91.75 F1 93.39]   E [P 87.31 R 88.03 F1 87.67]   EC [P 71.60 R 72.20 F1 71.90]

25.train    L 0.058    acc [B 85.36 E 87.11 O 99.79 T 98.22]   B [P 97.55 R 96.22 F1 96.88]   E [P 91.77 R 93.57 F1 92.66]   EC [P 82.10 R 83.71 F1 82.89]
25.val      L 0.150    acc [B 73.98 E 73.28 O 99.63 T 95.86]   B [P 94.97 R 91.63 F1 93.27]   E [P 86.84 R 87.50 F1 87.17]   EC [P 71.01 R 71.55 F1 71.28]

26.train    L 0.057    acc [B 85.18 E 86.76 O 99.82 T 98.21]   B [P 97.57 R 96.32 F1 96.94]   E [P 91.82 R 93.68 F1 92.74]   EC [P 81.92 R 83.58 F1 82.74]
26.val      L 0.146    acc [B 74.74 E 73.61 O 99.65 T 95.93]   B [P 94.99 R 91.89 F1 93.41]   E [P 86.87 R 88.01 F1 87.43]   EC [P 71.58 R 72.52 F1 72.05]

