data folder: data/ready/nerc/conll2002_esp/
embeddings: polyglot, es
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 0
use word embeddings: 1
use crf layer: 0

1.train    L 0.189     acc [B 60.10 E 57.80 O 99.78 T 94.58]   B [P 93.38 R 71.60 F1 81.05]   E [P 75.32 R 65.70 F1 70.19]   EC [P 63.98 R 55.81 F1 59.62]
1.val      L 0.235     acc [B 56.19 E 54.76 O 99.74 T 93.31]   B [P 90.33 R 71.27 F1 79.68]   E [P 72.36 R 64.29 F1 68.09]   EC [P 57.59 R 51.17 F1 54.19]

2.train    L 0.148     acc [B 69.09 E 67.50 O 99.63 T 95.65]   B [P 93.45 R 82.32 F1 87.53]   E [P 81.38 R 77.11 F1 79.19]   EC [P 69.41 R 65.77 F1 67.54]
2.val      L 0.197     acc [B 67.36 E 64.78 O 99.25 T 94.32]   B [P 88.27 R 83.20 F1 85.66]   E [P 76.71 R 77.27 F1 76.99]   EC [P 62.91 R 63.37 F1 63.14]

3.train    L 0.135     acc [B 70.56 E 70.18 O 99.51 T 95.88]   B [P 95.36 R 83.51 F1 89.04]   E [P 85.80 R 79.38 F1 82.46]   EC [P 73.51 R 68.00 F1 70.65]
3.val      L 0.177     acc [B 67.04 E 66.55 O 99.46 T 94.76]   B [P 92.94 R 82.35 F1 87.33]   E [P 83.21 R 77.67 F1 80.34]   EC [P 69.23 R 64.61 F1 66.84]

4.train    L 0.121     acc [B 72.94 E 73.06 O 99.66 T 96.36]   B [P 95.18 R 83.99 F1 89.24]   E [P 84.66 R 79.84 F1 82.18]   EC [P 74.14 R 69.92 F1 71.97]
4.val      L 0.165     acc [B 68.60 E 68.11 O 99.34 T 94.88]   B [P 90.43 R 83.22 F1 86.68]   E [P 81.05 R 79.02 F1 80.02]   EC [P 67.62 R 65.92 F1 66.76]

5.train    L 0.117     acc [B 72.81 E 73.44 O 99.66 T 96.41]   B [P 95.43 R 83.72 F1 89.19]   E [P 85.33 R 79.18 F1 82.14]   EC [P 75.02 R 69.61 F1 72.21]
5.val      L 0.168     acc [B 67.36 E 67.44 O 99.59 T 95.00]   B [P 92.90 R 81.80 F1 87.00]   E [P 82.54 R 76.82 F1 79.58]   EC [P 69.51 R 64.68 F1 67.01]

6.train    L 0.109     acc [B 76.10 E 76.17 O 99.56 T 96.66]   B [P 95.29 R 87.21 F1 91.07]   E [P 85.22 R 82.84 F1 84.01]   EC [P 75.21 R 73.11 F1 74.15]
6.val      L 0.155     acc [B 71.34 E 70.65 O 99.38 T 95.27]   B [P 92.13 R 84.76 F1 88.29]   E [P 82.04 R 79.89 F1 80.95]   EC [P 70.17 R 68.34 F1 69.24]

7.train    L 0.106     acc [B 77.63 E 78.74 O 99.34 T 96.79]   B [P 93.62 R 89.34 F1 91.43]   E [P 84.52 R 85.45 F1 84.98]   EC [P 74.24 R 75.05 F1 74.64]
7.val      L 0.152     acc [B 75.06 E 74.22 O 98.85 T 95.33]   B [P 88.10 R 88.28 F1 88.19]   E [P 79.02 R 83.50 F1 81.20]   EC [P 68.36 R 72.24 F1 70.25]

8.train    L 0.102     acc [B 77.58 E 79.33 O 99.39 T 96.91]   B [P 95.60 R 88.05 F1 91.67]   E [P 85.99 R 83.79 F1 84.87]   EC [P 76.66 R 74.69 F1 75.66]
8.val      L 0.147     acc [B 72.70 E 73.34 O 99.20 T 95.50]   B [P 91.53 R 85.98 F1 88.67]   E [P 81.79 R 81.20 F1 81.49]   EC [P 70.56 R 70.06 F1 70.31]

9.train    L 0.099     acc [B 79.21 E 79.89 O 99.32 T 96.91]   B [P 93.75 R 90.70 F1 92.20]   E [P 85.82 R 86.87 F1 86.34]   EC [P 75.61 R 76.53 F1 76.07]
9.val      L 0.149     acc [B 74.83 E 74.23 O 98.88 T 95.36]   B [P 88.92 R 88.58 F1 88.75]   E [P 80.73 R 84.44 F1 82.55]   EC [P 69.07 R 72.24 F1 70.62]

10.train    L 0.093    acc [B 78.62 E 80.39 O 99.53 T 97.16]   B [P 95.85 R 88.81 F1 92.20]   E [P 87.58 R 85.24 F1 86.39]   EC [P 78.32 R 76.23 F1 77.26]
10.val      L 0.143    acc [B 73.02 E 73.61 O 99.21 T 95.55]   B [P 91.53 R 86.49 F1 88.94]   E [P 82.67 R 82.54 F1 82.60]   EC [P 70.77 R 70.66 F1 70.71]

11.train    L 0.091    acc [B 79.48 E 80.75 O 99.55 T 97.22]   B [P 95.52 R 89.64 F1 92.49]   E [P 88.49 R 86.12 F1 87.29]   EC [P 79.20 R 77.07 F1 78.12]
11.val      L 0.142    acc [B 73.29 E 73.50 O 99.28 T 95.60]   B [P 91.57 R 86.42 F1 88.92]   E [P 83.19 R 82.01 F1 82.60]   EC [P 71.84 R 70.82 F1 71.33]

12.train    L 0.088    acc [B 80.29 E 82.41 O 99.46 T 97.35]   B [P 95.86 R 89.97 F1 92.82]   E [P 87.57 R 85.99 F1 86.77]   EC [P 78.95 R 77.53 F1 78.24]
12.val      L 0.141    acc [B 73.52 E 74.64 O 99.30 T 95.78]   B [P 92.82 R 86.46 F1 89.53]   E [P 84.18 R 82.56 F1 83.36]   EC [P 72.89 R 71.48 F1 72.18]

13.train    L 0.085    acc [B 80.19 E 82.11 O 99.58 T 97.42]   B [P 96.50 R 89.45 F1 92.84]   E [P 88.93 R 86.13 F1 87.51]   EC [P 80.44 R 77.90 F1 79.15]
13.val      L 0.136    acc [B 73.96 E 74.72 O 99.47 T 95.93]   B [P 93.92 R 85.91 F1 89.74]   E [P 85.90 R 82.47 F1 84.15]   EC [P 74.87 R 71.88 F1 73.34]

14.train    L 0.082    acc [B 80.66 E 83.06 O 99.54 T 97.50]   B [P 96.06 R 89.80 F1 92.83]   E [P 88.57 R 86.26 F1 87.40]   EC [P 80.50 R 78.40 F1 79.43]
14.val      L 0.133    acc [B 75.78 E 75.92 O 99.26 T 95.92]   B [P 92.05 R 87.24 F1 89.58]   E [P 83.84 R 83.23 F1 83.53]   EC [P 73.75 R 73.21 F1 73.48]

15.train    L 0.081    acc [B 81.50 E 83.35 O 99.56 T 97.55]   B [P 95.97 R 90.55 F1 93.18]   E [P 89.02 R 87.12 F1 88.06]   EC [P 80.89 R 79.16 F1 80.02]
15.val      L 0.133    acc [B 75.13 E 75.70 O 99.32 T 95.94]   B [P 92.41 R 87.31 F1 89.79]   E [P 84.44 R 83.27 F1 83.85]   EC [P 73.56 R 72.54 F1 73.04]

16.train    L 0.082    acc [B 81.69 E 83.42 O 99.41 T 97.43]   B [P 95.22 R 91.48 F1 93.31]   E [P 88.02 R 87.75 F1 87.88]   EC [P 79.41 R 79.16 F1 79.28]
16.val      L 0.135    acc [B 76.33 E 76.38 O 99.08 T 95.83]   B [P 90.84 R 88.90 F1 89.86]   E [P 82.80 R 84.83 F1 83.80]   EC [P 72.17 R 73.94 F1 73.05]

17.train    L 0.077    acc [B 82.40 E 84.10 O 99.53 T 97.62]   B [P 95.32 R 91.60 F1 93.42]   E [P 88.84 R 88.44 F1 88.64]   EC [P 80.70 R 80.34 F1 80.52]
17.val      L 0.136    acc [B 77.09 E 76.32 O 99.13 T 95.87]   B [P 90.26 R 89.29 F1 89.77]   E [P 83.12 R 85.45 F1 84.27]   EC [P 72.69 R 74.72 F1 73.69]

18.train    L 0.076    acc [B 82.02 E 84.15 O 99.62 T 97.70]   B [P 96.65 R 90.18 F1 93.31]   E [P 90.15 R 87.02 F1 88.56]   EC [P 82.69 R 79.82 F1 81.23]
18.val      L 0.130    acc [B 74.83 E 75.43 O 99.50 T 96.06]   B [P 93.92 R 86.30 F1 89.95]   E [P 85.93 R 82.63 F1 84.25]   EC [P 75.60 R 72.70 F1 74.12]

19.train    L 0.077    acc [B 82.07 E 83.66 O 99.53 T 97.57]   B [P 96.30 R 90.74 F1 93.44]   E [P 89.45 R 87.36 F1 88.39]   EC [P 81.58 R 79.67 F1 80.61]
