data folder: data/ready/nerc/conll2002_ned/
embeddings: polyglot, nl
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 0

1.train    L 0.156     acc [B 57.22 E 55.79 O 99.73 T 95.55]   B [P 93.93 R 85.76 F1 89.66]   E [P 81.39 R 80.14 F1 80.76]   EC [P 55.80 R 54.95 F1 55.37]
1.val      L 0.176     acc [B 51.49 E 49.95 O 99.80 T 94.88]   B [P 93.80 R 83.33 F1 88.26]   E [P 80.41 R 77.52 F1 78.94]   EC [P 51.15 R 49.31 F1 50.21]

2.train    L 0.130     acc [B 63.53 E 61.94 O 99.78 T 96.18]   B [P 94.88 R 89.51 F1 92.12]   E [P 82.10 R 83.35 F1 82.72]   EC [P 60.24 R 61.16 F1 60.70]
2.val      L 0.153     acc [B 57.22 E 55.68 O 99.83 T 95.48]   B [P 94.36 R 87.58 F1 90.84]   E [P 80.45 R 81.19 F1 80.82]   EC [P 54.02 R 54.51 F1 54.26]

3.train    L 0.109     acc [B 68.26 E 66.66 O 99.81 T 96.65]   B [P 95.93 R 91.38 F1 93.60]   E [P 86.02 R 86.52 F1 86.27]   EC [P 65.97 R 66.35 F1 66.16]
3.val      L 0.140     acc [B 62.84 E 60.77 O 99.81 T 95.96]   B [P 94.80 R 90.52 F1 92.61]   E [P 84.02 R 85.24 F1 84.63]   EC [P 59.95 R 60.82 F1 60.38]

4.train    L 0.095     acc [B 71.70 E 70.70 O 99.84 T 97.07]   B [P 96.77 R 91.69 F1 94.16]   E [P 86.39 R 87.19 F1 86.79]   EC [P 69.13 R 69.77 F1 69.45]
4.val      L 0.127     acc [B 65.37 E 64.27 O 99.82 T 96.32]   B [P 95.62 R 90.86 F1 93.18]   E [P 84.45 R 85.93 F1 85.18]   EC [P 62.36 R 63.46 F1 62.90]

5.train    L 0.089     acc [B 74.23 E 73.15 O 99.81 T 97.27]   B [P 96.25 R 93.54 F1 94.88]   E [P 86.16 R 88.53 F1 87.33]   EC [P 70.25 R 72.18 F1 71.20]
5.val      L 0.125     acc [B 68.23 E 66.13 O 99.80 T 96.48]   B [P 94.84 R 92.09 F1 93.44]   E [P 83.82 R 86.74 F1 85.25]   EC [P 63.72 R 65.94 F1 64.81]

6.train    L 0.083     acc [B 75.12 E 74.56 O 99.82 T 97.41]   B [P 96.79 R 93.97 F1 95.36]   E [P 88.35 R 89.95 F1 89.14]   EC [P 72.04 R 73.35 F1 72.69]
6.val      L 0.121     acc [B 67.43 E 66.40 O 99.81 T 96.52]   B [P 95.69 R 92.58 F1 94.11]   E [P 86.39 R 88.57 F1 87.47]   EC [P 63.98 R 65.60 F1 64.78]

7.train    L 0.077     acc [B 77.90 E 77.56 O 99.73 T 97.62]   B [P 96.26 R 95.56 F1 95.90]   E [P 87.23 R 91.26 F1 89.20]   EC [P 72.67 R 76.03 F1 74.31]
7.val      L 0.115     acc [B 69.76 E 68.87 O 99.69 T 96.65]   B [P 95.38 R 94.00 F1 94.69]   E [P 84.73 R 89.07 F1 86.84]   EC [P 64.55 R 67.85 F1 66.16]

8.train    L 0.072     acc [B 78.20 E 77.56 O 99.85 T 97.72]   B [P 97.22 R 95.02 F1 96.10]   E [P 89.60 R 91.37 F1 90.48]   EC [P 75.04 R 76.52 F1 75.77]
8.val      L 0.113     acc [B 69.65 E 68.74 O 99.81 T 96.75]   B [P 95.96 R 93.58 F1 94.76]   E [P 87.01 R 89.33 F1 88.16]   EC [P 66.16 R 67.93 F1 67.03]

9.train    L 0.068     acc [B 78.87 E 79.15 O 99.83 T 97.86]   B [P 97.50 R 94.89 F1 96.18]   E [P 89.53 R 91.34 F1 90.43]   EC [P 75.63 R 77.16 F1 76.39]
9.val      L 0.111     acc [B 70.64 E 70.09 O 99.77 T 96.85]   B [P 95.83 R 93.20 F1 94.50]   E [P 86.10 R 89.07 F1 87.56]   EC [P 66.59 R 68.88 F1 67.72]

10.train    L 0.068    acc [B 78.39 E 78.54 O 99.84 T 97.81]   B [P 97.45 R 95.20 F1 96.31]   E [P 90.45 R 91.78 F1 91.11]   EC [P 75.97 R 77.08 F1 76.52]
10.val      L 0.114    acc [B 69.61 E 69.01 O 99.81 T 96.77]   B [P 96.13 R 93.16 F1 94.62]   E [P 87.07 R 89.03 F1 88.04]   EC [P 66.36 R 67.85 F1 67.10]

11.train    L 0.060    acc [B 81.18 E 81.55 O 99.82 T 98.08]   B [P 97.53 R 95.55 F1 96.53]   E [P 90.53 R 92.30 F1 91.41]   EC [P 78.08 R 79.62 F1 78.84]
