data folder: data/ready/nerc/conll2002_ned/
embeddings: polyglot, nl
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 1
use crf layer: 0

1.train    L 0.109     acc [B 71.57 E 68.54 O 99.88 T 96.89]   B [P 95.10 R 90.78 F1 92.89]   E [P 81.72 R 83.41 F1 82.55]   EC [P 67.22 R 68.61 F1 67.91]
1.val      L 0.130     acc [B 65.94 E 63.25 O 99.89 T 96.28]   B [P 94.57 R 89.14 F1 91.77]   E [P 80.06 R 81.35 F1 80.70]   EC [P 62.72 R 63.72 F1 63.22]

2.train    L 0.082     acc [B 77.83 E 75.41 O 99.83 T 97.50]   B [P 96.12 R 94.67 F1 95.39]   E [P 87.59 R 90.00 F1 88.78]   EC [P 73.67 R 75.70 F1 74.67]
2.val      L 0.102     acc [B 73.74 E 71.49 O 99.84 T 97.04]   B [P 95.63 R 93.73 F1 94.67]   E [P 86.99 R 88.91 F1 87.94]   EC [P 69.93 R 71.48 F1 70.70]

3.train    L 0.068     acc [B 81.68 E 80.05 O 99.82 T 97.94]   B [P 96.56 R 95.91 F1 96.23]   E [P 88.79 R 91.81 F1 90.27]   EC [P 76.82 R 79.43 F1 78.10]
3.val      L 0.094     acc [B 76.15 E 74.34 O 99.83 T 97.32]   B [P 95.69 R 95.15 F1 95.42]   E [P 87.29 R 90.56 F1 88.89]   EC [P 71.19 R 73.85 F1 72.50]

4.train    L 0.057     acc [B 84.94 E 83.87 O 99.84 T 98.32]   B [P 97.47 R 96.02 F1 96.74]   E [P 89.77 R 92.02 F1 90.88]   EC [P 80.57 R 82.58 F1 81.56]
4.val      L 0.083     acc [B 79.13 E 77.19 O 99.81 T 97.58]   B [P 96.33 R 95.30 F1 95.81]   E [P 88.04 R 90.86 F1 89.43]   EC [P 74.52 R 76.91 F1 75.70]

5.train    L 0.051     acc [B 85.94 E 85.67 O 99.80 T 98.45]   B [P 97.93 R 96.46 F1 97.19]   E [P 91.12 R 93.50 F1 92.29]   EC [P 82.10 R 84.24 F1 83.16]
5.val      L 0.079     acc [B 80.01 E 78.41 O 99.81 T 97.70]   B [P 96.91 R 95.80 F1 96.35]   E [P 88.58 R 91.93 F1 90.23]   EC [P 74.99 R 77.83 F1 76.38]

6.train    L 0.046     acc [B 86.72 E 86.04 O 99.87 T 98.55]   B [P 97.97 R 96.74 F1 97.35]   E [P 92.46 R 94.03 F1 93.24]   EC [P 83.66 R 85.07 F1 84.36]
6.val      L 0.078     acc [B 80.01 E 78.57 O 99.83 T 97.73]   B [P 96.67 R 95.57 F1 96.12]   E [P 90.34 R 92.28 F1 91.30]   EC [P 76.95 R 78.59 F1 77.76]

7.train    L 0.043     acc [B 87.92 E 87.27 O 99.85 T 98.65]   B [P 97.85 R 97.60 F1 97.73]   E [P 92.64 R 94.98 F1 93.79]   EC [P 84.29 R 86.42 F1 85.34]
7.val      L 0.074     acc [B 82.07 E 80.48 O 99.84 T 97.94]   B [P 96.76 R 97.02 F1 96.89]   E [P 90.50 R 93.58 F1 92.01]   EC [P 77.67 R 80.31 F1 78.97]

8.train    L 0.039     acc [B 88.35 E 88.12 O 99.89 T 98.77]   B [P 98.38 R 97.43 F1 97.90]   E [P 93.57 R 95.02 F1 94.29]   EC [P 85.47 R 86.80 F1 86.13]
8.val      L 0.075     acc [B 80.85 E 79.19 O 99.85 T 97.82]   B [P 96.96 R 96.44 F1 96.70]   E [P 90.23 R 92.85 F1 91.52]   EC [P 76.89 R 79.13 F1 78.00]

9.train    L 0.038     acc [B 89.11 E 88.26 O 99.91 T 98.80]   B [P 98.29 R 97.30 F1 97.79]   E [P 93.89 R 94.99 F1 94.43]   EC [P 86.73 R 87.75 F1 87.24]
9.val      L 0.071     acc [B 83.22 E 81.53 O 99.86 T 98.05]   B [P 96.82 R 96.56 F1 96.69]   E [P 91.46 R 93.31 F1 92.37]   EC [P 79.88 R 81.50 F1 80.68]

10.train    L 0.034    acc [B 89.91 E 89.98 O 99.91 T 98.96]   B [P 98.59 R 97.65 F1 98.11]   E [P 94.79 R 95.80 F1 95.29]   EC [P 87.85 R 88.78 F1 88.31]
10.val      L 0.072    acc [B 82.84 E 81.13 O 99.86 T 98.01]   B [P 97.08 R 96.60 F1 96.84]   E [P 90.81 R 93.31 F1 92.04]   EC [P 78.87 R 81.04 F1 79.94]

11.train    L 0.030    acc [B 90.89 E 91.19 O 99.89 T 99.06]   B [P 98.43 R 98.07 F1 98.25]   E [P 94.74 R 96.28 F1 95.50]   EC [P 88.53 R 89.97 F1 89.24]
11.val      L 0.068    acc [B 83.56 E 82.23 O 99.84 T 98.11]   B [P 97.13 R 96.90 F1 97.01]   E [P 91.73 R 94.15 F1 92.93]   EC [P 80.26 R 82.38 F1 81.31]

12.train    L 0.028    acc [B 91.63 E 92.13 O 99.90 T 99.16]   B [P 98.60 R 98.01 F1 98.30]   E [P 95.37 R 96.40 F1 95.88]   EC [P 89.79 R 90.77 F1 90.28]
12.val      L 0.070    acc [B 84.10 E 82.26 O 99.85 T 98.12]   B [P 97.25 R 97.25 F1 97.25]   E [P 91.31 R 93.96 F1 92.61]   EC [P 80.01 R 82.34 F1 81.16]

13.train    L 0.026    acc [B 91.97 E 92.78 O 99.91 T 99.24]   B [P 98.80 R 97.84 F1 98.32]   E [P 95.68 R 96.35 F1 96.02]   EC [P 90.57 R 91.20 F1 90.89]
13.val      L 0.067    acc [B 84.37 E 82.88 O 99.85 T 98.18]   B [P 97.35 R 96.71 F1 97.03]   E [P 91.23 R 93.50 F1 92.35]   EC [P 80.72 R 82.72 F1 81.71]

14.train    L 0.024    acc [B 92.74 E 93.33 O 99.91 T 99.29]   B [P 98.75 R 98.27 F1 98.51]   E [P 96.09 R 96.99 F1 96.54]   EC [P 91.09 R 91.95 F1 91.52]
14.val      L 0.069    acc [B 84.02 E 82.26 O 99.83 T 98.09]   B [P 96.98 R 96.83 F1 96.90]   E [P 90.89 R 93.46 F1 92.16]   EC [P 79.81 R 82.07 F1 80.93]

15.train    L 0.022    acc [B 92.90 E 93.69 O 99.92 T 99.32]   B [P 98.96 R 98.22 F1 98.59]   E [P 96.26 R 96.91 F1 96.58]   EC [P 91.55 R 92.18 F1 91.86]
15.val      L 0.068    acc [B 84.29 E 82.71 O 99.82 T 98.13]   B [P 97.38 R 96.64 F1 97.01]   E [P 90.45 R 93.00 F1 91.71]   EC [P 79.89 R 82.15 F1 81.00]

16.train    L 0.022    acc [B 93.17 E 93.92 O 99.88 T 99.31]   B [P 98.61 R 98.71 F1 98.66]   E [P 95.91 R 97.46 F1 96.68]   EC [P 91.02 R 92.48 F1 91.74]
16.val      L 0.069    acc [B 84.25 E 83.17 O 99.77 T 98.13]   B [P 97.17 R 97.13 F1 97.15]   E [P 91.58 R 94.00 F1 92.77]   EC [P 80.37 R 82.49 F1 81.42]

17.train    L 0.020    acc [B 93.68 E 94.39 O 99.93 T 99.40]   B [P 98.97 R 98.39 F1 98.68]   E [P 96.81 R 97.35 F1 97.08]   EC [P 92.58 R 93.10 F1 92.84]
17.val      L 0.071    acc [B 84.79 E 82.69 O 99.84 T 98.15]   B [P 97.28 R 96.98 F1 97.13]   E [P 90.92 R 93.35 F1 92.12]   EC [P 80.45 R 82.61 F1 81.52]

18.train    L 0.019    acc [B 94.00 E 94.80 O 99.94 T 99.45]   B [P 99.22 R 98.51 F1 98.86]   E [P 97.09 R 97.51 F1 97.30]   EC [P 93.02 R 93.42 F1 93.22]
18.val      L 0.069    acc [B 84.14 E 82.90 O 99.85 T 98.18]   B [P 97.31 R 96.79 F1 97.05]   E [P 91.28 R 93.62 F1 92.43]   EC [P 80.47 R 82.53 F1 81.49]

19.train    L 0.018    acc [B 94.27 E 95.09 O 99.94 T 99.48]   B [P 99.22 R 98.54 F1 98.88]   E [P 97.40 R 97.68 F1 97.54]   EC [P 93.58 R 93.85 F1 93.72]
19.val      L 0.069    acc [B 84.48 E 82.90 O 99.85 T 98.18]   B [P 97.09 R 96.90 F1 97.00]   E [P 90.68 R 93.35 F1 91.99]   EC [P 80.28 R 82.65 F1 81.45]

20.train    L 0.017    acc [B 94.69 E 95.52 O 99.95 T 99.52]   B [P 99.28 R 98.59 F1 98.94]   E [P 97.56 R 97.80 F1 97.68]   EC [P 94.07 R 94.30 F1 94.18]
20.val      L 0.067    acc [B 83.98 E 83.12 O 99.82 T 98.17]   B [P 97.42 R 96.52 F1 96.97]   E [P 92.02 R 93.46 F1 92.74]   EC [P 81.14 R 82.42 F1 81.78]

21.train    L 0.016    acc [B 94.75 E 95.64 O 99.93 T 99.52]   B [P 99.11 R 98.90 F1 99.01]   E [P 97.39 R 98.07 F1 97.73]   EC [P 93.64 R 94.30 F1 93.97]
21.val      L 0.068    acc [B 85.13 E 84.25 O 99.81 T 98.28]   B [P 97.25 R 97.25 F1 97.25]   E [P 91.62 R 94.07 F1 92.83]   EC [P 81.24 R 83.41 F1 82.31]

22.train    L 0.014    acc [B 95.48 E 96.31 O 99.95 T 99.60]   B [P 99.28 R 98.99 F1 99.13]   E [P 98.13 R 98.44 F1 98.28]   EC [P 94.91 R 95.22 F1 95.07]
22.val      L 0.069    acc [B 85.05 E 83.90 O 99.83 T 98.26]   B [P 97.24 R 97.06 F1 97.15]   E [P 92.20 R 94.38 F1 93.28]   EC [P 81.48 R 83.41 F1 82.43]

23.train    L 0.014    acc [B 95.71 E 96.41 O 99.96 T 99.62]   B [P 99.37 R 98.91 F1 99.14]   E [P 98.02 R 98.28 F1 98.15]   EC [P 95.20 R 95.45 F1 95.33]
23.val      L 0.070    acc [B 84.98 E 82.96 O 99.86 T 98.19]   B [P 97.10 R 97.17 F1 97.13]   E [P 90.34 R 93.35 F1 91.82]   EC [P 80.10 R 82.76 F1 81.41]

