data folder: data/ready/nerc/conll2002_ned/
embeddings: polyglot, nl
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 0
use word embeddings: 1
use crf layer: 0

1.train    L 0.183     acc [B 46.79 E 47.97 O 99.86 T 94.92]   B [P 93.61 R 54.35 F1 68.77]   E [P 80.03 R 50.40 F1 61.85]   EC [P 72.23 R 45.49 F1 55.82]
1.val      L 0.208     acc [B 37.92 E 40.60 O 99.94 T 94.10]   B [P 94.14 R 46.71 F1 62.44]   E [P 77.41 R 42.58 F1 54.94]   EC [P 67.27 R 37.00 F1 47.74]

2.train    L 0.144     acc [B 54.59 E 56.86 O 99.86 T 95.77]   B [P 95.47 R 60.84 F1 74.32]   E [P 82.16 R 56.89 F1 67.23]   EC [P 75.86 R 52.53 F1 62.07]
2.val      L 0.169     acc [B 45.95 E 49.78 O 99.92 T 94.98]   B [P 94.98 R 52.83 F1 67.89]   E [P 81.06 R 49.24 F1 61.26]   EC [P 72.44 R 44.00 F1 54.74]

3.train    L 0.125     acc [B 62.49 E 64.10 O 99.75 T 96.35]   B [P 94.39 R 69.17 F1 79.83]   E [P 82.53 R 64.72 F1 72.55]   EC [P 76.29 R 59.82 F1 67.06]
3.val      L 0.147     acc [B 54.93 E 57.59 O 99.83 T 95.67]   B [P 94.59 R 62.16 F1 75.02]   E [P 82.42 R 58.07 F1 68.13]   EC [P 74.50 R 52.48 F1 61.58]

4.train    L 0.114     acc [B 65.90 E 68.27 O 99.67 T 96.68]   B [P 94.49 R 72.39 F1 81.98]   E [P 84.04 R 68.47 F1 75.46]   EC [P 77.99 R 63.53 F1 70.02]
4.val      L 0.140     acc [B 57.38 E 60.66 O 99.80 T 95.95]   B [P 95.33 R 64.79 F1 77.15]   E [P 83.44 R 60.86 F1 70.38]   EC [P 75.68 R 55.20 F1 63.84]

5.train    L 0.106     acc [B 68.37 E 70.76 O 99.69 T 96.93]   B [P 94.79 R 74.64 F1 83.52]   E [P 85.96 R 71.14 F1 77.85]   EC [P 80.18 R 66.35 F1 72.61]
5.val      L 0.131     acc [B 61.12 E 63.95 O 99.83 T 96.29]   B [P 95.68 R 68.62 F1 79.92]   E [P 86.07 R 64.95 F1 74.03]   EC [P 78.47 R 59.21 F1 67.49]

6.train    L 0.101     acc [B 70.02 E 72.47 O 99.64 T 97.05]   B [P 94.36 R 76.28 F1 84.36]   E [P 86.16 R 72.67 F1 78.84]   EC [P 80.62 R 67.99 F1 73.77]
6.val      L 0.126     acc [B 63.00 E 65.35 O 99.76 T 96.37]   B [P 95.03 R 70.87 F1 81.19]   E [P 85.94 R 67.28 F1 75.47]   EC [P 78.12 R 61.16 F1 68.61]

7.train    L 0.097     acc [B 69.09 E 71.33 O 99.79 T 97.08]   B [P 95.80 R 74.83 F1 84.02]   E [P 87.84 R 71.43 F1 78.79]   EC [P 82.48 R 67.06 F1 73.98]
7.val      L 0.125     acc [B 62.08 E 64.08 O 99.86 T 96.33]   B [P 95.60 R 69.00 F1 80.15]   E [P 87.21 R 65.44 F1 74.78]   EC [P 80.13 R 60.13 F1 68.70]

8.train    L 0.093     acc [B 69.62 E 72.31 O 99.80 T 97.18]   B [P 96.11 R 74.53 F1 83.95]   E [P 88.38 R 71.63 F1 79.13]   EC [P 83.59 R 67.75 F1 74.84]
8.val      L 0.125     acc [B 60.55 E 63.60 O 99.83 T 96.26]   B [P 95.86 R 67.20 F1 79.01]   E [P 86.78 R 63.72 F1 73.48]   EC [P 79.96 R 58.72 F1 67.71]

9.train    L 0.089     acc [B 71.19 E 74.26 O 99.74 T 97.32]   B [P 96.23 R 76.32 F1 85.13]   E [P 88.13 R 73.13 F1 79.93]   EC [P 83.44 R 69.23 F1 75.67]
9.val      L 0.120     acc [B 62.46 E 65.29 O 99.81 T 96.41]   B [P 95.84 R 69.61 F1 80.65]   E [P 86.52 R 66.02 F1 74.89]   EC [P 79.56 R 60.70 F1 68.86]

10.train    L 0.088    acc [B 70.65 E 73.28 O 99.79 T 97.26]   B [P 96.21 R 76.12 F1 84.99]   E [P 88.46 R 73.04 F1 80.01]   EC [P 83.49 R 68.93 F1 75.51]
10.val      L 0.121    acc [B 63.04 E 65.62 O 99.83 T 96.46]   B [P 96.37 R 69.95 F1 81.06]   E [P 87.66 R 66.28 F1 75.49]   EC [P 81.09 R 61.31 F1 69.83]

11.train    L 0.083    acc [B 73.13 E 76.39 O 99.75 T 97.52]   B [P 96.17 R 78.20 F1 86.26]   E [P 89.70 R 75.47 F1 81.97]   EC [P 84.93 R 71.46 F1 77.62]
11.val      L 0.117    acc [B 64.45 E 67.02 O 99.75 T 96.52]   B [P 95.29 R 71.87 F1 81.94]   E [P 87.50 R 68.50 F1 76.84]   EC [P 80.08 R 62.69 F1 70.33]

12.train    L 0.083    acc [B 73.98 E 76.97 O 99.68 T 97.52]   B [P 95.33 R 79.17 F1 86.50]   E [P 88.74 R 76.48 F1 82.15]   EC [P 83.97 R 72.37 F1 77.74]
12.val      L 0.117    acc [B 64.79 E 67.12 O 99.72 T 96.51]   B [P 94.68 R 72.78 F1 82.30]   E [P 86.74 R 69.50 F1 77.16]   EC [P 78.72 R 63.07 F1 70.03]

13.train    L 0.080    acc [B 73.52 E 76.60 O 99.77 T 97.56]   B [P 96.29 R 78.29 F1 86.36]   E [P 90.14 R 75.75 F1 82.32]   EC [P 85.63 R 71.96 F1 78.20]
13.val      L 0.114    acc [B 64.64 E 67.42 O 99.79 T 96.60]   B [P 95.75 R 71.52 F1 81.88]   E [P 87.00 R 68.04 F1 76.36]   EC [P 80.21 R 62.73 F1 70.40]

14.train    L 0.077    acc [B 75.64 E 78.87 O 99.66 T 97.68]   B [P 95.24 R 81.06 F1 87.58]   E [P 89.40 R 78.63 F1 83.67]   EC [P 84.52 R 74.34 F1 79.10]
14.val      L 0.112    acc [B 66.86 E 69.44 O 99.68 T 96.70]   B [P 94.71 R 74.58 F1 83.45]   E [P 86.85 R 71.44 F1 78.40]   EC [P 79.51 R 65.41 F1 71.77]

15.train    L 0.075    acc [B 74.78 E 78.47 O 99.78 T 97.75]   B [P 96.72 R 79.35 F1 87.18]   E [P 90.97 R 77.19 F1 83.51]   EC [P 86.64 R 73.52 F1 79.54]
15.val      L 0.115    acc [B 64.72 E 67.21 O 99.75 T 96.54]   B [P 95.05 R 71.90 F1 81.87]   E [P 85.66 R 68.04 F1 75.84]   EC [P 79.16 R 62.88 F1 70.09]

16.train    L 0.074    acc [B 76.04 E 79.43 O 99.74 T 97.81]   B [P 96.05 R 80.99 F1 87.88]   E [P 90.44 R 78.80 F1 84.22]   EC [P 85.81 R 74.77 F1 79.91]
16.val      L 0.113    acc [B 66.82 E 68.85 O 99.71 T 96.67]   B [P 94.59 R 74.24 F1 83.19]   E [P 86.42 R 70.80 F1 77.83]   EC [P 79.42 R 65.06 F1 71.53]

17.train    L 0.071    acc [B 76.67 E 80.14 O 99.76 T 97.89]   B [P 96.45 R 81.52 F1 88.36]   E [P 91.03 R 79.43 F1 84.84]   EC [P 86.50 R 75.47 F1 80.61]
17.val      L 0.111    acc [B 66.90 E 69.04 O 99.72 T 96.69]   B [P 95.24 R 75.00 F1 83.92]   E [P 86.51 R 71.60 F1 78.35]   EC [P 78.75 R 65.18 F1 71.32]

18.train    L 0.070    acc [B 75.97 E 80.02 O 99.78 T 97.90]   B [P 97.15 R 80.16 F1 87.84]   E [P 91.72 R 78.15 F1 84.39]   EC [P 87.78 R 74.81 F1 80.78]
18.val      L 0.112    acc [B 66.21 E 68.55 O 99.73 T 96.65]   B [P 95.41 R 73.05 F1 82.75]   E [P 86.82 R 69.72 F1 77.34]   EC [P 80.10 R 64.33 F1 71.36]

19.train    L 0.069    acc [B 76.71 E 80.40 O 99.75 T 97.91]   B [P 96.25 R 81.39 F1 88.20]   E [P 91.09 R 79.27 F1 84.77]   EC [P 86.70 R 75.46 F1 80.69]
19.val      L 0.112    acc [B 66.90 E 69.12 O 99.71 T 96.69]   B [P 95.20 R 74.35 F1 83.49]   E [P 87.06 R 71.22 F1 78.34]   EC [P 79.95 R 65.41 F1 71.95]

20.train    L 0.068    acc [B 76.15 E 80.34 O 99.80 T 97.94]   B [P 97.30 R 79.98 F1 87.80]   E [P 92.33 R 78.08 F1 84.61]   EC [P 88.65 R 74.96 F1 81.23]
20.val      L 0.113    acc [B 64.83 E 67.42 O 99.74 T 96.55]   B [P 95.27 R 72.40 F1 82.28]   E [P 86.25 R 69.07 F1 76.71]   EC [P 79.24 R 63.46 F1 70.47]

21.train    L 0.066    acc [B 77.07 E 81.17 O 99.79 T 98.02]   B [P 97.15 R 81.39 F1 88.57]   E [P 92.28 R 79.65 F1 85.50]   EC [P 88.13 R 76.06 F1 81.65]
21.val      L 0.112    acc [B 65.86 E 68.79 O 99.69 T 96.65]   B [P 95.15 R 73.55 F1 82.97]   E [P 86.89 R 70.45 F1 77.81]   EC [P 79.40 R 64.37 F1 71.10]

