data folder: data/ready/nerc/conll2003_eng/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 0

1.train    L 0.244     acc [B 60.82 E 59.44 O 98.81 T 92.23]   B [P 90.64 R 89.83 F1 90.23]   E [P 75.57 R 81.90 F1 78.61]   EC [P 52.33 R 56.71 F1 54.43]
1.val      L 0.258     acc [B 59.02 E 56.84 O 98.84 T 91.80]   B [P 89.98 R 89.43 F1 89.70]   E [P 76.17 R 82.08 F1 79.01]   EC [P 51.05 R 55.02 F1 52.96]

2.train    L 0.182     acc [B 71.42 E 70.85 O 99.12 T 94.39]   B [P 93.31 R 93.31 F1 93.31]   E [P 84.09 R 88.24 F1 86.11]   EC [P 65.88 R 69.13 F1 67.47]
2.val      L 0.193     acc [B 69.77 E 68.84 O 99.21 T 94.12]   B [P 93.37 R 92.85 F1 93.11]   E [P 83.91 R 87.58 F1 85.70]   EC [P 64.88 R 67.72 F1 66.27]

3.train    L 0.156     acc [B 74.86 E 74.81 O 99.28 T 95.19]   B [P 94.53 R 93.90 F1 94.22]   E [P 86.14 R 89.39 F1 87.73]   EC [P 70.18 R 72.83 F1 71.48]
3.val      L 0.169     acc [B 73.26 E 72.86 O 99.33 T 94.89]   B [P 94.41 R 93.87 F1 94.14]   E [P 86.14 R 89.23 F1 87.66]   EC [P 68.84 R 71.31 F1 70.05]

4.train    L 0.139     acc [B 78.09 E 78.54 O 99.27 T 95.80]   B [P 94.82 R 94.66 F1 94.74]   E [P 88.10 R 91.08 F1 89.56]   EC [P 74.00 R 76.50 F1 75.23]
4.val      L 0.156     acc [B 75.82 E 75.73 O 99.34 T 95.39]   B [P 94.79 R 94.53 F1 94.66]   E [P 88.52 R 90.93 F1 89.71]   EC [P 72.30 R 74.27 F1 73.27]

5.train    L 0.125     acc [B 79.65 E 79.97 O 99.49 T 96.22]   B [P 96.10 R 94.27 F1 95.18]   E [P 89.66 R 90.74 F1 90.20]   EC [P 77.02 R 77.96 F1 77.49]
5.val      L 0.143     acc [B 77.01 E 76.61 O 99.49 T 95.66]   B [P 95.72 R 93.82 F1 94.76]   E [P 88.09 R 89.60 F1 88.84]   EC [P 73.73 R 74.99 F1 74.35]

6.train    L 0.115     acc [B 81.34 E 82.02 O 99.49 T 96.57]   B [P 96.67 R 94.53 F1 95.59]   E [P 90.61 R 91.54 F1 91.07]   EC [P 79.11 R 79.91 F1 79.51]
6.val      L 0.136     acc [B 78.49 E 78.17 O 99.49 T 95.92]   B [P 95.98 R 94.06 F1 95.01]   E [P 88.72 R 90.39 F1 89.55]   EC [P 75.31 R 76.73 F1 76.01]

7.train    L 0.106     acc [B 83.37 E 83.98 O 99.35 T 96.78]   B [P 96.06 R 95.95 F1 96.00]   E [P 90.96 R 93.04 F1 91.99]   EC [P 80.14 R 81.97 F1 81.05]
7.val      L 0.125     acc [B 81.00 E 80.93 O 99.38 T 96.29]   B [P 95.87 R 95.79 F1 95.83]   E [P 89.26 R 91.94 F1 90.58]   EC [P 76.86 R 79.17 F1 78.00]

8.train    L 0.099     acc [B 83.54 E 84.33 O 99.50 T 96.96]   B [P 96.97 R 95.05 F1 96.00]   E [P 91.80 R 92.48 F1 92.14]   EC [P 81.57 R 82.18 F1 81.88]
8.val      L 0.120     acc [B 80.55 E 80.86 O 99.49 T 96.37]   B [P 96.60 R 94.65 F1 95.61]   E [P 90.24 R 91.20 F1 90.72]   EC [P 78.12 R 78.95 F1 78.53]

9.train    L 0.095     acc [B 84.56 E 85.32 O 99.47 T 97.10]   B [P 96.65 R 95.99 F1 96.32]   E [P 91.98 R 93.44 F1 92.70]   EC [P 81.96 R 83.26 F1 82.61]
9.val      L 0.118     acc [B 82.06 E 82.06 O 99.47 T 96.56]   B [P 96.13 R 95.64 F1 95.88]   E [P 90.87 R 92.48 F1 91.67]   EC [P 78.93 R 80.33 F1 79.62]

10.train    L 0.089    acc [B 85.63 E 86.24 O 99.54 T 97.32]   B [P 96.91 R 96.25 F1 96.58]   E [P 92.51 R 93.77 F1 93.14]   EC [P 83.25 R 84.39 F1 83.82]
10.val      L 0.115    acc [B 82.82 E 82.76 O 99.52 T 96.71]   B [P 96.37 R 95.94 F1 96.15]   E [P 91.16 R 92.73 F1 91.94]   EC [P 80.08 R 81.45 F1 80.76]

11.train    L 0.085    acc [B 85.77 E 86.65 O 99.55 T 97.39]   B [P 97.20 R 96.25 F1 96.72]   E [P 93.35 R 94.14 F1 93.74]   EC [P 84.03 R 84.75 F1 84.39]
11.val      L 0.111    acc [B 82.53 E 82.68 O 99.52 T 96.70]   B [P 96.55 R 95.54 F1 96.04]   E [P 91.22 R 92.65 F1 91.93]   EC [P 79.90 R 81.15 F1 80.52]

12.train    L 0.081    acc [B 86.39 E 87.20 O 99.61 T 97.53]   B [P 97.37 R 96.19 F1 96.78]   E [P 92.81 R 93.82 F1 93.31]   EC [P 84.28 R 85.19 F1 84.73]
12.val      L 0.109    acc [B 83.00 E 83.09 O 99.55 T 96.79]   B [P 96.65 R 95.51 F1 96.07]   E [P 91.31 R 92.66 F1 91.98]   EC [P 80.30 R 81.49 F1 80.89]

13.train    L 0.078    acc [B 87.02 E 87.89 O 99.57 T 97.61]   B [P 97.35 R 96.78 F1 97.06]   E [P 93.28 R 94.67 F1 93.97]   EC [P 84.69 R 85.95 F1 85.31]
