data folder: data/ready/nerc/conll2003_eng/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 0
use word embeddings: 1
use crf layer: 0

1.train    L 0.197     acc [B 73.22 E 69.87 O 99.67 T 94.69]   B [P 94.55 R 77.45 F1 85.15]   E [P 85.46 R 72.35 F1 78.36]   EC [P 82.80 R 70.10 F1 75.92]
1.val      L 0.204     acc [B 73.95 E 69.86 O 99.73 T 94.73]   B [P 95.58 R 77.85 F1 85.81]   E [P 87.05 R 73.06 F1 79.44]   EC [P 84.40 R 70.83 F1 77.02]

2.train    L 0.145     acc [B 81.51 E 78.23 O 99.69 T 96.10]   B [P 96.25 R 85.48 F1 90.55]   E [P 89.00 R 80.74 F1 84.67]   EC [P 86.45 R 78.42 F1 82.24]
2.val      L 0.157     acc [B 81.50 E 77.32 O 99.73 T 95.98]   B [P 96.60 R 85.70 F1 90.82]   E [P 89.17 R 81.07 F1 84.93]   EC [P 86.19 R 78.36 F1 82.09]

3.train    L 0.120     acc [B 84.70 E 82.12 O 99.68 T 96.74]   B [P 96.81 R 88.57 F1 92.51]   E [P 90.68 R 84.73 F1 87.60]   EC [P 88.06 R 82.28 F1 85.07]
3.val      L 0.138     acc [B 84.99 E 81.25 O 99.68 T 96.59]   B [P 96.68 R 89.20 F1 92.79]   E [P 90.43 R 85.04 F1 87.65]   EC [P 87.58 R 82.36 F1 84.89]

4.train    L 0.113     acc [B 85.04 E 82.56 O 99.71 T 96.84]   B [P 97.31 R 88.50 F1 92.69]   E [P 91.61 R 84.92 F1 88.14]   EC [P 89.28 R 82.75 F1 85.89]
4.val      L 0.134     acc [B 85.02 E 81.45 O 99.73 T 96.67]   B [P 96.80 R 88.67 F1 92.56]   E [P 90.88 R 84.69 F1 87.67]   EC [P 88.30 R 82.28 F1 85.18]

5.train    L 0.099     acc [B 86.95 E 85.31 O 99.66 T 97.26]   B [P 97.66 R 90.21 F1 93.78]   E [P 92.06 R 87.05 F1 89.48]   EC [P 89.96 R 85.06 F1 87.44]
5.val      L 0.123     acc [B 86.87 E 83.69 O 99.67 T 97.00]   B [P 97.04 R 90.42 F1 93.61]   E [P 91.02 R 86.65 F1 88.78]   EC [P 88.76 R 84.50 F1 86.58]

6.train    L 0.093     acc [B 87.28 E 85.57 O 99.71 T 97.35]   B [P 97.77 R 90.31 F1 93.89]   E [P 92.49 R 87.16 F1 89.75]   EC [P 90.49 R 85.28 F1 87.81]
6.val      L 0.119     acc [B 86.74 E 83.51 O 99.67 T 96.96]   B [P 96.90 R 90.37 F1 93.52]   E [P 91.16 R 86.59 F1 88.81]   EC [P 88.73 R 84.28 F1 86.45]

7.train    L 0.086     acc [B 88.43 E 87.06 O 99.70 T 97.58]   B [P 97.89 R 91.43 F1 94.55]   E [P 92.80 R 88.51 F1 90.60]   EC [P 90.98 R 86.77 F1 88.83]
7.val      L 0.112     acc [B 87.56 E 84.90 O 99.67 T 97.19]   B [P 97.01 R 91.15 F1 93.99]   E [P 91.23 R 87.58 F1 89.37]   EC [P 89.06 R 85.49 F1 87.24]

8.train    L 0.081     acc [B 89.20 E 88.30 O 99.63 T 97.74]   B [P 97.98 R 92.15 F1 94.97]   E [P 93.11 R 89.37 F1 91.21]   EC [P 91.14 R 87.48 F1 89.27]
8.val      L 0.110     acc [B 87.85 E 85.48 O 99.60 T 97.23]   B [P 97.16 R 91.43 F1 94.21]   E [P 91.13 R 87.80 F1 89.43]   EC [P 88.93 R 85.68 F1 87.27]

9.train    L 0.076     acc [B 89.43 E 88.61 O 99.70 T 97.85]   B [P 98.10 R 92.06 F1 94.98]   E [P 93.60 R 89.57 F1 91.54]   EC [P 91.90 R 87.94 F1 89.87]
9.val      L 0.107     acc [B 87.95 E 85.40 O 99.65 T 97.26]   B [P 97.11 R 91.16 F1 94.05]   E [P 91.79 R 87.90 F1 89.80]   EC [P 89.68 R 85.88 F1 87.74]

10.train    L 0.080    acc [B 88.85 E 87.16 O 99.82 T 97.70]   B [P 98.29 R 91.50 F1 94.77]   E [P 93.98 R 88.71 F1 91.27]   EC [P 92.35 R 87.17 F1 89.69]
10.val      L 0.116    acc [B 87.28 E 84.23 O 99.76 T 97.16]   B [P 97.27 R 90.68 F1 93.86]   E [P 92.56 R 87.51 F1 89.97]   EC [P 90.21 R 85.29 F1 87.68]

11.train    L 0.070    acc [B 90.21 E 89.30 O 99.73 T 97.98]   B [P 98.20 R 92.76 F1 95.40]   E [P 94.03 R 90.28 F1 92.12]   EC [P 92.42 R 88.72 F1 90.53]
11.val      L 0.107    acc [B 88.44 E 85.70 O 99.64 T 97.31]   B [P 96.88 R 91.52 F1 94.12]   E [P 92.11 R 88.46 F1 90.25]   EC [P 90.05 R 86.47 F1 88.22]

12.train    L 0.069    acc [B 89.71 E 88.85 O 99.78 T 97.95]   B [P 98.42 R 92.25 F1 95.23]   E [P 94.27 R 89.89 F1 92.03]   EC [P 92.67 R 88.37 F1 90.47]
12.val      L 0.108    acc [B 87.80 E 85.32 O 99.71 T 97.30]   B [P 97.22 R 91.20 F1 94.11]   E [P 92.50 R 88.19 F1 90.29]   EC [P 90.19 R 85.98 F1 88.03]

13.train    L 0.064    acc [B 90.80 E 90.20 O 99.72 T 98.13]   B [P 98.23 R 93.23 F1 95.66]   E [P 94.33 R 91.04 F1 92.65]   EC [P 92.73 R 89.50 F1 91.08]
13.val      L 0.101    acc [B 88.79 E 86.53 O 99.65 T 97.45]   B [P 97.08 R 91.80 F1 94.37]   E [P 92.69 R 89.01 F1 90.81]   EC [P 90.71 R 87.11 F1 88.87]

