data folder: data/ready/nerc/conll2012/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 1
use crf layer: 0

1.train    L 0.135     acc [B 81.70 E 81.03 O 98.84 T 96.40]   B [P 89.28 R 88.97 F1 89.12]   E [P 77.55 R 84.39 F1 80.83]   EC [P 72.78 R 79.19 F1 75.85]
1.val      L 0.146     acc [B 79.36 E 78.92 O 98.77 T 96.08]   B [P 88.15 R 87.68 F1 87.92]   E [P 76.11 R 82.93 F1 79.37]   EC [P 70.69 R 77.03 F1 73.72]

2.train    L 0.118     acc [B 85.41 E 84.31 O 98.84 T 96.85]   B [P 89.35 R 91.46 F1 90.39]   E [P 80.20 R 87.18 F1 83.55]   EC [P 75.97 R 82.58 F1 79.14]
2.val      L 0.132     acc [B 82.61 E 81.85 O 98.77 T 96.48]   B [P 88.54 R 89.78 F1 89.16]   E [P 78.54 R 85.18 F1 81.72]   EC [P 73.42 R 79.63 F1 76.40]

3.train    L 0.103     acc [B 86.52 E 85.87 O 99.07 T 97.26]   B [P 90.97 R 91.64 F1 91.31]   E [P 82.91 R 88.30 F1 85.52]   EC [P 79.22 R 84.37 F1 81.72]
3.val      L 0.121     acc [B 83.33 E 82.63 O 99.02 T 96.80]   B [P 90.27 R 89.93 F1 90.10]   E [P 80.85 R 86.26 F1 83.47]   EC [P 76.09 R 81.19 F1 78.56]

4.train    L 0.099     acc [B 87.46 E 87.58 O 98.89 T 97.34]   B [P 90.97 R 92.21 F1 91.59]   E [P 83.33 R 89.01 F1 86.08]   EC [P 79.88 R 85.32 F1 82.51]
4.val      L 0.121     acc [B 84.27 E 84.02 O 98.84 T 96.83]   B [P 90.19 R 91.04 F1 90.61]   E [P 81.34 R 87.38 F1 84.26]   EC [P 76.38 R 82.05 F1 79.11]

5.train    L 0.095     acc [B 88.57 E 88.54 O 98.89 T 97.47]   B [P 90.58 R 93.14 F1 91.84]   E [P 83.78 R 89.80 F1 86.69]   EC [P 80.55 R 86.32 F1 83.33]
