data folder: data/ready/nerc/conll2012/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 0
use word embeddings: 1
use crf layer: 0

1.train    L 0.202     acc [B 68.29 E 65.76 O 99.13 T 94.55]   B [P 88.01 R 73.20 F1 79.92]   E [P 74.15 R 68.22 F1 71.06]   EC [P 70.91 R 65.24 F1 67.96]
1.val      L 0.219     acc [B 65.78 E 63.51 O 99.09 T 94.27]   B [P 87.33 R 70.95 F1 78.29]   E [P 73.16 R 65.88 F1 69.33]   EC [P 69.64 R 62.71 F1 65.99]

2.train    L 0.171     acc [B 76.15 E 74.97 O 98.68 T 95.43]   B [P 87.87 R 80.39 F1 83.96]   E [P 76.07 R 75.49 F1 75.78]   EC [P 73.46 R 72.90 F1 73.18]
2.val      L 0.191     acc [B 72.68 E 71.91 O 98.60 T 94.98]   B [P 86.93 R 77.38 F1 81.88]   E [P 74.51 R 72.56 F1 73.52]   EC [P 71.49 R 69.62 F1 70.54]

3.train    L 0.160     acc [B 75.92 E 73.05 O 99.14 T 95.56]   B [P 89.06 R 79.82 F1 84.18]   E [P 78.43 R 74.99 F1 76.67]   EC [P 76.00 R 72.66 F1 74.29]
3.val      L 0.183     acc [B 72.91 E 70.08 O 99.08 T 95.15]   B [P 88.10 R 77.63 F1 82.53]   E [P 76.90 R 72.51 F1 74.64]   EC [P 73.74 R 69.53 F1 71.57]

4.train    L 0.148     acc [B 78.87 E 77.54 O 98.85 T 95.93]   B [P 88.99 R 82.78 F1 85.77]   E [P 78.50 R 78.17 F1 78.34]   EC [P 76.11 R 75.79 F1 75.95]
4.val      L 0.176     acc [B 75.21 E 73.84 O 98.70 T 95.33]   B [P 86.91 R 80.00 F1 83.31]   E [P 76.12 R 75.25 F1 75.68]   EC [P 72.92 R 72.09 F1 72.50]

