data folder: data/ready/nerc/germeval/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 0

1.train    L 0.286     acc [B 25.01 E 24.56 O 99.30 T 92.35]   B [P 72.22 R 32.40 F1 44.73]   E [P 58.51 R 29.63 F1 39.34]   EC [P 46.64 R 23.62 F1 31.36]
1.val      L 0.296     acc [B 25.58 E 24.70 O 99.30 T 92.21]   B [P 73.51 R 33.21 F1 45.75]   E [P 57.64 R 29.62 F1 39.13]   EC [P 46.43 R 23.86 F1 31.52]

2.train    L 0.239     acc [B 39.24 E 38.01 O 99.06 T 93.39]   B [P 79.02 R 50.46 F1 61.59]   E [P 66.45 R 46.57 F1 54.77]   EC [P 53.62 R 37.58 F1 44.19]
2.val      L 0.248     acc [B 40.46 E 38.69 O 99.03 T 93.30]   B [P 78.71 R 51.01 F1 61.90]   E [P 66.77 R 47.57 F1 55.56]   EC [P 54.59 R 38.89 F1 45.42]

3.train    L 0.221     acc [B 44.05 E 42.62 O 99.05 T 93.80]   B [P 80.25 R 55.57 F1 65.67]   E [P 68.71 R 51.43 F1 58.83]   EC [P 56.19 R 42.06 F1 48.11]
3.val      L 0.233     acc [B 45.36 E 43.56 O 98.98 T 93.71]   B [P 79.76 R 56.28 F1 65.99]   E [P 68.23 R 52.13 F1 59.11]   EC [P 56.93 R 43.49 F1 49.31]

4.train    L 0.200     acc [B 50.29 E 49.22 O 98.81 T 94.20]   B [P 79.77 R 63.28 F1 70.58]   E [P 68.13 R 58.74 F1 63.08]   EC [P 55.71 R 48.03 F1 51.59]
4.val      L 0.214     acc [B 50.93 E 49.34 O 98.74 T 94.04]   B [P 78.77 R 63.43 F1 70.27]   E [P 67.99 R 58.94 F1 63.14]   EC [P 56.17 R 48.69 F1 52.16]

5.train    L 0.192     acc [B 51.32 E 50.35 O 98.94 T 94.42]   B [P 80.98 R 63.88 F1 71.42]   E [P 70.06 R 59.24 F1 64.20]   EC [P 58.10 R 49.12 F1 53.23]
5.val      L 0.208     acc [B 51.98 E 50.61 O 98.84 T 94.25]   B [P 79.63 R 64.17 F1 71.07]   E [P 69.34 R 59.72 F1 64.18]   EC [P 57.92 R 49.89 F1 53.61]

6.train    L 0.180     acc [B 53.77 E 53.63 O 98.96 T 94.75]   B [P 82.95 R 66.60 F1 73.88]   E [P 72.35 R 62.08 F1 66.82]   EC [P 60.15 R 51.61 F1 55.56]
6.val      L 0.198     acc [B 54.38 E 53.06 O 98.88 T 94.52]   B [P 81.85 R 66.79 F1 73.56]   E [P 71.37 R 62.38 F1 66.57]   EC [P 59.99 R 52.43 F1 55.96]

7.train    L 0.172     acc [B 55.11 E 55.54 O 98.97 T 94.93]   B [P 83.84 R 67.49 F1 74.78]   E [P 72.30 R 63.00 F1 67.33]   EC [P 60.84 R 53.01 F1 56.66]
7.val      L 0.191     acc [B 55.35 E 54.22 O 98.86 T 94.62]   B [P 82.50 R 66.98 F1 73.93]   E [P 71.00 R 62.64 F1 66.56]   EC [P 60.28 R 53.18 F1 56.51]

8.train    L 0.167     acc [B 57.20 E 57.13 O 98.97 T 95.08]   B [P 83.75 R 70.04 F1 76.28]   E [P 72.96 R 65.62 F1 69.09]   EC [P 61.32 R 55.15 F1 58.07]
8.val      L 0.190     acc [B 57.48 E 55.88 O 98.86 T 94.78]   B [P 82.52 R 69.90 F1 75.68]   E [P 71.88 R 65.18 F1 68.37]   EC [P 61.07 R 55.39 F1 58.09]

9.train    L 0.161     acc [B 57.57 E 57.71 O 99.05 T 95.21]   B [P 84.77 R 69.67 F1 76.48]   E [P 74.14 R 65.31 F1 69.45]   EC [P 63.13 R 55.62 F1 59.14]
9.val      L 0.186     acc [B 57.55 E 55.86 O 98.92 T 94.82]   B [P 83.23 R 69.04 F1 75.47]   E [P 72.49 R 64.36 F1 68.19]   EC [P 62.30 R 55.31 F1 58.60]

10.train    L 0.156    acc [B 58.07 E 58.72 O 99.11 T 95.35]   B [P 85.70 R 69.31 F1 76.64]   E [P 74.80 R 65.12 F1 69.63]   EC [P 64.24 R 55.93 F1 59.80]
10.val      L 0.181    acc [B 57.59 E 56.29 O 98.98 T 94.92]   B [P 83.97 R 68.96 F1 75.73]   E [P 73.00 R 64.40 F1 68.43]   EC [P 62.78 R 55.39 F1 58.85]

11.train    L 0.154    acc [B 58.77 E 58.73 O 99.16 T 95.40]   B [P 85.86 R 70.90 F1 77.66]   E [P 75.69 R 66.61 F1 70.86]   EC [P 64.48 R 56.74 F1 60.36]
11.val      L 0.181    acc [B 58.38 E 56.54 O 99.02 T 94.98]   B [P 83.76 R 70.01 F1 76.27]   E [P 73.56 R 65.22 F1 69.14]   EC [P 63.22 R 56.06 F1 59.43]

12.train    L 0.148    acc [B 60.75 E 61.63 O 99.10 T 95.62]   B [P 86.03 R 72.57 F1 78.73]   E [P 76.29 R 68.26 F1 72.05]   EC [P 65.61 R 58.70 F1 61.96]
12.val      L 0.178    acc [B 59.91 E 58.31 O 98.95 T 95.09]   B [P 84.24 R 71.35 F1 77.26]   E [P 73.65 R 66.38 F1 69.83]   EC [P 63.49 R 57.22 F1 60.19]

13.train    L 0.145    acc [B 60.62 E 61.57 O 99.18 T 95.68]   B [P 87.06 R 72.02 F1 78.83]   E [P 77.11 R 67.91 F1 72.22]   EC [P 66.57 R 58.63 F1 62.35]
13.val      L 0.176    acc [B 59.46 E 58.38 O 98.99 T 95.13]   B [P 85.16 R 70.83 F1 77.34]   E [P 74.61 R 66.38 F1 70.26]   EC [P 64.27 R 57.18 F1 60.52]

14.train    L 0.140    acc [B 60.49 E 62.01 O 99.29 T 95.82]   B [P 88.56 R 70.97 F1 78.79]   E [P 78.50 R 67.27 F1 72.45]   EC [P 68.43 R 58.65 F1 63.16]
14.val      L 0.173    acc [B 59.01 E 57.83 O 99.14 T 95.22]   B [P 86.72 R 70.08 F1 77.52]   E [P 75.93 R 65.71 F1 70.45]   EC [P 65.51 R 56.69 F1 60.79]

