data folder: data/ready/nerc/germeval/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 1
use crf layer: 0

1.train    L 0.179     acc [B 57.16 E 54.35 O 99.37 T 95.19]   B [P 87.36 R 65.16 F1 74.65]   E [P 77.40 R 60.72 F1 68.06]   EC [P 70.30 R 55.15 F1 61.81]
1.val      L 0.185     acc [B 58.26 E 54.80 O 99.34 T 95.10]   B [P 86.66 R 66.79 F1 75.44]   E [P 75.62 R 61.26 F1 67.69]   EC [P 68.93 R 55.83 F1 61.69]

2.train    L 0.143     acc [B 62.90 E 60.57 O 99.51 T 95.89]   B [P 90.35 R 70.62 F1 79.28]   E [P 80.56 R 66.00 F1 72.55]   EC [P 73.92 R 60.56 F1 66.58]
2.val      L 0.153     acc [B 64.17 E 61.14 O 99.45 T 95.81]   B [P 90.00 R 71.73 F1 79.83]   E [P 79.19 R 66.31 F1 72.18]   EC [P 73.11 R 61.22 F1 66.64]

3.train    L 0.127     acc [B 69.45 E 68.17 O 99.28 T 96.39]   B [P 89.39 R 79.08 F1 83.92]   E [P 80.45 R 74.43 F1 77.33]   EC [P 72.47 R 67.04 F1 69.65]
3.val      L 0.142     acc [B 69.75 E 66.87 O 99.18 T 96.11]   B [P 88.66 R 79.24 F1 83.69]   E [P 79.98 R 74.57 F1 77.18]   EC [P 72.20 R 67.31 F1 69.67]

4.train    L 0.117     acc [B 71.62 E 70.97 O 99.22 T 96.60]   B [P 89.42 R 80.77 F1 84.88]   E [P 80.37 R 76.63 F1 78.46]   EC [P 72.83 R 69.44 F1 71.10]
4.val      L 0.132     acc [B 72.21 E 70.45 O 99.13 T 96.40]   B [P 88.66 R 81.00 F1 84.66]   E [P 79.82 R 76.48 F1 78.11]   EC [P 73.07 R 70.01 F1 71.50]

5.train    L 0.111     acc [B 70.42 E 70.17 O 99.45 T 96.73]   B [P 91.74 R 78.46 F1 84.58]   E [P 83.20 R 74.58 F1 78.65]   EC [P 76.31 R 68.41 F1 72.15]
5.val      L 0.129     acc [B 70.49 E 69.24 O 99.34 T 96.48]   B [P 90.36 R 78.83 F1 84.20]   E [P 82.32 R 74.87 F1 78.42]   EC [P 75.33 R 68.51 F1 71.76]

6.train    L 0.103     acc [B 72.63 E 72.69 O 99.44 T 96.95]   B [P 92.12 R 80.46 F1 85.89]   E [P 83.84 R 76.60 F1 80.06]   EC [P 77.14 R 70.48 F1 73.66]
6.val      L 0.125     acc [B 71.09 E 69.82 O 99.28 T 96.48]   B [P 90.42 R 79.39 F1 84.55]   E [P 80.68 R 74.64 F1 77.54]   EC [P 74.17 R 68.62 F1 71.29]

7.train    L 0.099     acc [B 74.87 E 75.24 O 99.35 T 97.10]   B [P 91.29 R 83.05 F1 86.98]   E [P 83.80 R 79.21 F1 81.44]   EC [P 77.07 R 72.85 F1 74.90]
7.val      L 0.123     acc [B 73.19 E 71.97 O 99.19 T 96.60]   B [P 89.55 R 81.75 F1 85.47]   E [P 81.05 R 77.41 F1 79.19]   EC [P 74.71 R 71.35 F1 72.99]

8.train    L 0.095     acc [B 76.39 E 77.43 O 99.19 T 97.17]   B [P 90.76 R 84.78 F1 87.67]   E [P 83.73 R 81.23 F1 82.46]   EC [P 76.79 R 74.50 F1 75.62]
8.val      L 0.120     acc [B 74.79 E 74.04 O 99.03 T 96.66]   B [P 89.06 R 83.43 F1 86.16]   E [P 81.31 R 79.21 F1 80.24]   EC [P 74.78 R 72.85 F1 73.80]

9.train    L 0.091     acc [B 75.57 E 76.23 O 99.46 T 97.30]   B [P 92.57 R 82.47 F1 87.23]   E [P 85.50 R 79.27 F1 82.27]   EC [P 79.65 R 73.84 F1 76.64]
9.val      L 0.120     acc [B 73.71 E 72.40 O 99.28 T 96.73]   B [P 91.03 R 80.85 F1 85.64]   E [P 82.64 R 76.74 F1 79.58]   EC [P 77.08 R 71.58 F1 74.23]

10.train    L 0.089    acc [B 77.10 E 77.65 O 99.34 T 97.33]   B [P 91.53 R 84.78 F1 88.03]   E [P 84.29 R 81.32 F1 82.78]   EC [P 78.03 R 75.27 F1 76.63]
10.val      L 0.121    acc [B 75.17 E 73.59 O 99.17 T 96.73]   B [P 89.71 R 83.13 F1 86.30]   E [P 82.05 R 79.13 F1 80.56]   EC [P 75.96 R 73.26 F1 74.59]

11.train    L 0.085    acc [B 77.61 E 77.79 O 99.47 T 97.45]   B [P 92.24 R 84.66 F1 88.28]   E [P 85.86 R 81.24 F1 83.48]   EC [P 79.98 R 75.68 F1 77.77]
11.val      L 0.119    acc [B 74.91 E 73.31 O 99.29 T 96.82]   B [P 90.41 R 82.50 F1 86.27]   E [P 82.85 R 78.38 F1 80.55]   EC [P 77.08 R 72.92 F1 74.94]

12.train    L 0.082    acc [B 77.50 E 78.03 O 99.54 T 97.54]   B [P 92.95 R 83.99 F1 88.24]   E [P 86.48 R 80.59 F1 83.43]   EC [P 81.10 R 75.57 F1 78.24]
12.val      L 0.118    acc [B 74.64 E 72.90 O 99.33 T 96.82]   B [P 90.81 R 82.01 F1 86.19]   E [P 82.38 R 77.45 F1 79.84]   EC [P 77.05 R 72.44 F1 74.67]

13.train    L 0.079    acc [B 78.66 E 79.77 O 99.48 T 97.65]   B [P 93.16 R 85.33 F1 89.07]   E [P 86.60 R 82.34 F1 84.42]   EC [P 80.98 R 76.99 F1 78.93]
13.val      L 0.115    acc [B 75.88 E 74.24 O 99.24 T 96.87]   B [P 90.52 R 83.25 F1 86.73]   E [P 82.96 R 79.39 F1 81.14]   EC [P 77.10 R 73.78 F1 75.41]

