data folder: data/ready/nerc/germeval/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 0
use word embeddings: 1
use crf layer: 0

1.train    L 0.208     acc [B 44.94 E 44.31 O 99.72 T 94.57]   B [P 90.81 R 48.73 F1 63.43]   E [P 77.42 R 44.73 F1 56.71]   EC [P 74.13 R 42.83 F1 54.29]
1.val      L 0.216     acc [B 45.25 E 45.03 O 99.69 T 94.49]   B [P 91.18 R 49.10 F1 63.83]   E [P 76.58 R 44.76 F1 56.50]   EC [P 72.87 R 42.60 F1 53.76]

2.train    L 0.179     acc [B 54.37 E 54.81 O 99.49 T 95.34]   B [P 90.28 R 59.04 F1 71.39]   E [P 78.46 R 55.22 F1 64.82]   EC [P 74.23 R 52.24 F1 61.32]
2.val      L 0.191     acc [B 55.16 E 55.28 O 99.42 T 95.22]   B [P 90.25 R 59.91 F1 72.02]   E [P 77.38 R 55.27 F1 64.49]   EC [P 73.46 R 52.47 F1 61.21]

3.train    L 0.168     acc [B 56.60 E 57.57 O 99.45 T 95.56]   B [P 90.61 R 61.57 F1 73.32]   E [P 78.77 R 57.22 F1 66.29]   EC [P 74.71 R 54.26 F1 62.87]
3.val      L 0.180     acc [B 56.58 E 57.12 O 99.39 T 95.37]   B [P 90.23 R 61.85 F1 73.40]   E [P 77.92 R 57.14 F1 65.93]   EC [P 73.94 R 54.23 F1 62.57]

4.train    L 0.158     acc [B 57.78 E 58.91 O 99.50 T 95.72]   B [P 90.90 R 62.53 F1 74.09]   E [P 79.95 R 58.53 F1 67.58]   EC [P 76.09 R 55.70 F1 64.32]
4.val      L 0.173     acc [B 57.63 E 58.41 O 99.42 T 95.52]   B [P 90.26 R 62.75 F1 74.03]   E [P 79.28 R 58.53 F1 67.34]   EC [P 75.23 R 55.53 F1 63.90]

5.train    L 0.151     acc [B 60.60 E 62.43 O 99.31 T 95.88]   B [P 89.79 R 65.87 F1 75.99]   E [P 79.59 R 61.87 F1 69.62]   EC [P 75.14 R 58.42 F1 65.73]
5.val      L 0.168     acc [B 59.91 E 60.73 O 99.22 T 95.56]   B [P 88.70 R 65.15 F1 75.12]   E [P 78.34 R 60.88 F1 68.52]   EC [P 74.16 R 57.63 F1 64.86]

6.train    L 0.148     acc [B 59.87 E 61.49 O 99.45 T 95.92]   B [P 91.19 R 64.62 F1 75.64]   E [P 81.12 R 60.86 F1 69.55]   EC [P 77.10 R 57.85 F1 66.10]
6.val      L 0.166     acc [B 59.61 E 60.18 O 99.36 T 95.63]   B [P 90.12 R 64.47 F1 75.17]   E [P 79.49 R 60.28 F1 68.57]   EC [P 75.69 R 57.40 F1 65.29]

7.train    L 0.143     acc [B 62.16 E 64.73 O 99.27 T 96.06]   B [P 89.88 R 67.26 F1 76.94]   E [P 79.71 R 63.51 F1 70.69]   EC [P 75.41 R 60.09 F1 66.88]
