data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 0

1.train    L 0.219     acc 93.08
1.val      L 0.220     acc 93.15

2.train    L 0.157     acc 95.00
2.val      L 0.161     acc 94.94

3.train    L 0.130     acc 95.83
3.val      L 0.137     acc 95.70

4.train    L 0.114     acc 96.40
4.val      L 0.124     acc 96.18

5.train    L 0.101     acc 96.80
5.val      L 0.109     acc 96.61

6.train    L 0.094     acc 97.03
6.val      L 0.104     acc 96.77

7.train    L 0.089     acc 97.18
7.val      L 0.102     acc 96.88

8.train    L 0.084     acc 97.34
8.val      L 0.096     acc 97.02

9.train    L 0.080     acc 97.46
9.val      L 0.095     acc 97.13

10.train    L 0.077    acc 97.54
10.val      L 0.091    acc 97.16

11.train    L 0.074    acc 97.64
11.val      L 0.089    acc 97.26

12.train    L 0.072    acc 97.72
12.val      L 0.088    acc 97.34

13.train    L 0.070    acc 97.77
13.val      L 0.086    acc 97.33

14.train    L 0.068    acc 97.83
14.val      L 0.086    acc 97.37

15.train    L 0.065    acc 97.91
15.val      L 0.083    acc 97.50

16.train    L 0.064    acc 97.93
16.val      L 0.082    acc 97.51

17.train    L 0.063    acc 97.98
17.val      L 0.082    acc 97.53

18.train    L 0.063    acc 98.00
18.val      L 0.084    acc 97.51

19.train    L 0.060    acc 98.08
19.val      L 0.080    acc 97.60

20.train    L 0.059    acc 98.13
20.val      L 0.077    acc 97.66

21.train    L 0.058    acc 98.13
21.val      L 0.079    acc 97.60

22.train    L 0.058    acc 98.13
22.val      L 0.080    acc 97.62

23.train    L 0.056    acc 98.21
23.val      L 0.078    acc 97.68

24.train    L 0.056    acc 98.21
24.val      L 0.078    acc 97.66

25.train    L 0.054    acc 98.28
25.val      L 0.077    acc 97.74

26.train    L 0.053    acc 98.28
26.val      L 0.076    acc 97.73

27.train    L 0.052    acc 98.31
27.val      L 0.076    acc 97.77

28.train    L 0.052    acc 98.34
28.val      L 0.075    acc 97.79

29.train    L 0.051    acc 98.36
29.val      L 0.074    acc 97.80

30.train    L 0.050    acc 98.37
30.val      L 0.075    acc 97.77

31.train    L 0.050    acc 98.40
31.val      L 0.073    acc 97.81

32.train    L 0.049    acc 98.43
32.val      L 0.074    acc 97.80

33.train    L 0.048    acc 98.44
33.val      L 0.074    acc 97.83

34.train    L 0.048    acc 98.46
34.val      L 0.073    acc 97.85

35.train    L 0.047    acc 98.47
35.val      L 0.073    acc 97.87

36.train    L 0.047    acc 98.49
36.val      L 0.073    acc 97.85

37.train    L 0.048    acc 98.45
37.val      L 0.076    acc 97.75

38.train    L 0.046    acc 98.50
38.val      L 0.074    acc 97.82

39.train    L 0.045    acc 98.54
39.val      L 0.073    acc 97.85

40.train    L 0.045    acc 98.56
40.val      L 0.073    acc 97.88

41.train    L 0.045    acc 98.58
41.val      L 0.072    acc 97.89

42.train    L 0.044    acc 98.59
42.val      L 0.072    acc 97.87

43.train    L 0.044    acc 98.60
43.val      L 0.071    acc 97.92

44.train    L 0.043    acc 98.62
44.val      L 0.071    acc 97.92

45.train    L 0.043    acc 98.62
45.val      L 0.070    acc 97.94

46.train    L 0.043    acc 98.62
46.val      L 0.071    acc 97.94

47.train    L 0.042    acc 98.64
47.val      L 0.070    acc 97.95

48.train    L 0.042    acc 98.65
48.val      L 0.071    acc 97.98

49.train    L 0.041    acc 98.68
49.val      L 0.070    acc 97.95

50.train    L 0.041    acc 98.67
50.val      L 0.070    acc 97.99

51.train    L 0.041    acc 98.68
51.val      L 0.070    acc 97.97

52.train    L 0.041    acc 98.68
52.val      L 0.071    acc 97.95

53.train    L 0.040    acc 98.71
53.val      L 0.071    acc 97.96

54.train    L 0.040    acc 98.71
54.val      L 0.071    acc 97.95

55.train    L 0.040    acc 98.71
55.val      L 0.070    acc 98.00

56.train    L 0.039    acc 98.74
56.val      L 0.070    acc 97.97

57.train    L 0.039    acc 98.75
57.val      L 0.070    acc 98.01

58.train    L 0.039    acc 98.74
58.val      L 0.070    acc 97.98

59.train    L 0.038    acc 98.76
59.val      L 0.069    acc 97.99

60.train    L 0.038    acc 98.76
60.val      L 0.071    acc 97.97

61.train    L 0.038    acc 98.76
61.val      L 0.071    acc 97.99

62.train    L 0.038    acc 98.78
62.val      L 0.071    acc 97.98

63.train    L 0.037    acc 98.78
63.val      L 0.069    acc 98.01

64.train    L 0.037    acc 98.81
64.val      L 0.070    acc 98.00

65.train    L 0.037    acc 98.80
65.val      L 0.068    acc 98.05

66.train    L 0.037    acc 98.81
66.val      L 0.070    acc 98.05

67.train    L 0.037    acc 98.82
67.val      L 0.069    acc 98.05

68.train    L 0.036    acc 98.83
68.val      L 0.069    acc 98.06

69.train    L 0.036    acc 98.84
69.val      L 0.069    acc 98.05

70.train    L 0.036    acc 98.84
70.val      L 0.068    acc 98.05

71.train    L 0.036    acc 98.85
71.val      L 0.069    acc 98.07

72.train    L 0.036    acc 98.85
72.val      L 0.070    acc 98.05

73.train    L 0.035    acc 98.87
73.val      L 0.069    acc 98.06

74.train    L 0.035    acc 98.86
74.val      L 0.069    acc 98.05

75.train    L 0.035    acc 98.87
75.val      L 0.070    acc 98.07

76.train    L 0.035    acc 98.88
76.val      L 0.069    acc 98.07

77.train    L 0.035    acc 98.87
77.val      L 0.070    acc 98.06

78.train    L 0.034    acc 98.89
78.val      L 0.071    acc 98.06

79.train    L 0.034    acc 98.90
79.val      L 0.069    acc 98.06

80.train    L 0.034    acc 98.89
80.val      L 0.070    acc 98.05

81.train    L 0.034    acc 98.91
81.val      L 0.069    acc 98.06

82.train    L 0.034    acc 98.91
82.val      L 0.070    acc 98.08

83.train    L 0.033    acc 98.92
83.val      L 0.069    acc 98.04

84.train    L 0.033    acc 98.93
84.val      L 0.068    acc 98.08

85.train    L 0.033    acc 98.93
85.val      L 0.069    acc 98.07

86.train    L 0.033    acc 98.93
86.val      L 0.069    acc 98.08
