data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 1

1.train    L 3.452     acc 93.57
1.val      L 3.022     acc 93.49

2.train    L 2.446     acc 95.39
2.val      L 2.188     acc 95.27

3.train    L 2.044     acc 96.16
3.val      L 1.851     acc 96.00

4.train    L 1.774     acc 96.66
4.val      L 1.642     acc 96.48

5.train    L 1.686     acc 96.79
5.val      L 1.598     acc 96.51

6.train    L 1.524     acc 97.16
6.val      L 1.440     acc 96.89

7.train    L 1.410     acc 97.35
7.val      L 1.359     acc 97.08

8.train    L 1.341     acc 97.50
8.val      L 1.336     acc 97.21

9.train    L 1.270     acc 97.64
9.val      L 1.270     acc 97.29

10.train    L 1.241    acc 97.70
10.val      L 1.273    acc 97.38

11.train    L 1.186    acc 97.79
11.val      L 1.219    acc 97.45

12.train    L 1.170    acc 97.78
12.val      L 1.242    acc 97.41

13.train    L 1.121    acc 97.89
13.val      L 1.181    acc 97.57

14.train    L 1.091    acc 97.96
14.val      L 1.176    acc 97.56

15.train    L 1.065    acc 98.01
15.val      L 1.175    acc 97.59

16.train    L 1.051    acc 98.05
16.val      L 1.175    acc 97.65

17.train    L 0.999    acc 98.14
17.val      L 1.135    acc 97.70

18.train    L 0.990    acc 98.13
18.val      L 1.113    acc 97.74

19.train    L 0.971    acc 98.17
19.val      L 1.111    acc 97.77

20.train    L 0.945    acc 98.23
20.val      L 1.101    acc 97.80

21.train    L 0.935    acc 98.24
21.val      L 1.101    acc 97.78

22.train    L 0.918    acc 98.27
22.val      L 1.090    acc 97.78

23.train    L 0.901    acc 98.31
23.val      L 1.086    acc 97.79

24.train    L 0.880    acc 98.34
24.val      L 1.053    acc 97.88

25.train    L 0.876    acc 98.35
25.val      L 1.088    acc 97.81

26.train    L 0.857    acc 98.40
26.val      L 1.066    acc 97.89

27.train    L 0.837    acc 98.43
27.val      L 1.038    acc 97.88

28.train    L 0.829    acc 98.45
28.val      L 1.047    acc 97.88

29.train    L 0.816    acc 98.46
29.val      L 1.053    acc 97.93

30.train    L 0.804    acc 98.49
30.val      L 1.032    acc 97.94

31.train    L 0.789    acc 98.52
31.val      L 1.022    acc 97.94

32.train    L 0.783    acc 98.53
32.val      L 1.026    acc 97.93

33.train    L 0.774    acc 98.55
33.val      L 1.034    acc 97.97

34.train    L 0.769    acc 98.56
34.val      L 1.021    acc 97.97

35.train    L 0.766    acc 98.56
35.val      L 1.033    acc 97.96

36.train    L 0.763    acc 98.57
36.val      L 1.040    acc 97.96

37.train    L 0.742    acc 98.61
37.val      L 1.010    acc 98.00

38.train    L 0.729    acc 98.64
38.val      L 1.015    acc 97.98

39.train    L 0.727    acc 98.63
39.val      L 1.015    acc 97.99

40.train    L 0.727    acc 98.63
40.val      L 1.013    acc 98.00

41.train    L 0.718    acc 98.65
41.val      L 1.009    acc 97.97

42.train    L 0.713    acc 98.66
42.val      L 1.015    acc 98.00

43.train    L 0.700    acc 98.68
43.val      L 0.999    acc 98.00

44.train    L 0.698    acc 98.69
44.val      L 1.013    acc 98.00

45.train    L 0.684    acc 98.71
45.val      L 0.983    acc 98.04

46.train    L 0.681    acc 98.72
46.val      L 0.993    acc 98.01

47.train    L 0.679    acc 98.73
47.val      L 0.990    acc 98.04

48.train    L 0.672    acc 98.74
48.val      L 0.991    acc 98.05

49.train    L 0.674    acc 98.72
49.val      L 1.022    acc 97.99

50.train    L 0.656    acc 98.75
50.val      L 0.982    acc 98.04

51.train    L 0.650    acc 98.79
51.val      L 0.967    acc 98.10

52.train    L 0.654    acc 98.78
52.val      L 0.984    acc 98.06

53.train    L 0.647    acc 98.79
53.val      L 0.992    acc 98.05

54.train    L 0.640    acc 98.80
54.val      L 0.983    acc 98.08

55.train    L 0.634    acc 98.81
55.val      L 0.978    acc 98.09

56.train    L 0.631    acc 98.81
56.val      L 0.992    acc 98.06

57.train    L 0.627    acc 98.82
57.val      L 0.995    acc 98.04

58.train    L 0.622    acc 98.84
58.val      L 0.992    acc 98.06

59.train    L 0.618    acc 98.85
59.val      L 0.980    acc 98.07

60.train    L 0.616    acc 98.84
60.val      L 0.975    acc 98.05

61.train    L 0.606    acc 98.86
61.val      L 0.973    acc 98.10

62.train    L 0.603    acc 98.87
62.val      L 0.973    acc 98.09

63.train    L 0.608    acc 98.85
63.val      L 0.983    acc 98.06

64.train    L 0.599    acc 98.87
64.val      L 0.968    acc 98.10

65.train    L 0.593    acc 98.89
65.val      L 0.977    acc 98.10

66.train    L 0.596    acc 98.88
66.val      L 0.989    acc 98.06

67.train    L 0.586    acc 98.90
67.val      L 0.970    acc 98.09

68.train    L 0.586    acc 98.91
68.val      L 0.968    acc 98.12

69.train    L 0.581    acc 98.91
69.val      L 0.974    acc 98.08

70.train    L 0.584    acc 98.91
70.val      L 0.988    acc 98.05

71.train    L 0.571    acc 98.94
71.val      L 0.953    acc 98.10

72.train    L 0.565    acc 98.95
72.val      L 0.968    acc 98.12

73.train    L 0.563    acc 98.94
73.val      L 0.973    acc 98.12

74.train    L 0.560    acc 98.95
74.val      L 0.949    acc 98.13

75.train    L 0.564    acc 98.94
75.val      L 0.968    acc 98.09

76.train    L 0.559    acc 98.96
76.val      L 0.958    acc 98.13

77.train    L 0.552    acc 98.98
77.val      L 0.952    acc 98.14

78.train    L 0.552    acc 98.97
78.val      L 0.964    acc 98.12

79.train    L 0.551    acc 98.98
79.val      L 0.962    acc 98.12

