data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 1
use crf layer: 1

1.train    L 1.659     acc 97.05
1.val      L 1.464     acc 97.03

2.train    L 1.240     acc 97.75
2.val      L 1.153     acc 97.64

3.train    L 1.061     acc 98.04
3.val      L 1.027     acc 97.86

4.train    L 0.941     acc 98.26
4.val      L 0.926     acc 98.05

5.train    L 0.872     acc 98.37
5.val      L 0.894     acc 98.14

6.train    L 0.807     acc 98.48
6.val      L 0.827     acc 98.20

7.train    L 0.764     acc 98.55
7.val      L 0.806     acc 98.27

8.train    L 0.738     acc 98.62
8.val      L 0.826     acc 98.28

9.train    L 0.715     acc 98.67
9.val      L 0.795     acc 98.35

10.train    L 0.679    acc 98.71
10.val      L 0.788    acc 98.36

11.train    L 0.651    acc 98.76
11.val      L 0.783    acc 98.37

12.train    L 0.636    acc 98.80
12.val      L 0.772    acc 98.42

13.train    L 0.613    acc 98.85
13.val      L 0.757    acc 98.41

14.train    L 0.592    acc 98.89
14.val      L 0.754    acc 98.42

15.train    L 0.582    acc 98.89
15.val      L 0.744    acc 98.45

16.train    L 0.575    acc 98.93
16.val      L 0.748    acc 98.46

17.train    L 0.555    acc 98.96
17.val      L 0.730    acc 98.50

18.train    L 0.546    acc 98.98
18.val      L 0.741    acc 98.50

19.train    L 0.545    acc 98.99
19.val      L 0.742    acc 98.49

20.train    L 0.530    acc 99.01
20.val      L 0.735    acc 98.52

21.train    L 0.524    acc 99.01
21.val      L 0.738    acc 98.50

22.train    L 0.507    acc 99.05
22.val      L 0.712    acc 98.52

23.train    L 0.498    acc 99.07
23.val      L 0.721    acc 98.54

24.train    L 0.484    acc 99.09
24.val      L 0.714    acc 98.55

25.train    L 0.485    acc 99.09
25.val      L 0.725    acc 98.51

26.train    L 0.474    acc 99.11
26.val      L 0.702    acc 98.55

27.train    L 0.475    acc 99.11
27.val      L 0.733    acc 98.50

28.train    L 0.462    acc 99.13
28.val      L 0.716    acc 98.54

29.train    L 0.457    acc 99.13
29.val      L 0.714    acc 98.55

30.train    L 0.451    acc 99.16
30.val      L 0.714    acc 98.58

31.train    L 0.445    acc 99.16
31.val      L 0.722    acc 98.54

32.train    L 0.436    acc 99.19
32.val      L 0.704    acc 98.56

33.train    L 0.436    acc 99.18
33.val      L 0.706    acc 98.56

34.train    L 0.427    acc 99.21
34.val      L 0.702    acc 98.57

35.train    L 0.423    acc 99.21
35.val      L 0.713    acc 98.56

36.train    L 0.419    acc 99.22
36.val      L 0.711    acc 98.59

37.train    L 0.412    acc 99.23
37.val      L 0.685    acc 98.60

38.train    L 0.411    acc 99.23
38.val      L 0.710    acc 98.59

39.train    L 0.400    acc 99.25
39.val      L 0.707    acc 98.60

40.train    L 0.397    acc 99.26
40.val      L 0.691    acc 98.61

41.train    L 0.396    acc 99.26
41.val      L 0.708    acc 98.58

42.train    L 0.390    acc 99.27
42.val      L 0.707    acc 98.59

